# x_m, y_m, w_tr_right_m, w_tr_left_m
-4.07679, -9.93085, 0.64030, 0.54110
-4.17059, -9.96627, 0.62522, 0.55558
-4.26435, -10.00201, 0.61168, 0.57080
-4.35805, -10.03808, 0.60348, 0.58218
-4.45169, -10.07451, 0.60403, 0.58614
-4.54523, -10.11132, 0.61040, 0.58605
-4.63861, -10.14858, 0.61891, 0.58138
-4.73178, -10.18633, 0.62602, 0.57290
-4.82469, -10.22462, 0.63414, 0.56145
-4.91727, -10.26350, 0.64379, 0.54162
-5.00949, -10.30303, 0.65715, 0.52148
-5.10127, -10.34324, 0.67246, 0.50065
-5.19257, -10.38420, 0.68355, 0.48030
-5.28334, -10.42595, 0.69277, 0.46259
-5.37351, -10.46853, 0.69692, 0.44526
-5.46304, -10.51201, 0.69120, 0.44201
-5.55188, -10.55642, 0.67747, 0.44566
-5.63995, -10.60182, 0.66277, 0.46281
-5.72729, -10.64836, 0.65508, 0.48080
-5.81458, -10.69714, 0.66653, 0.50217
-5.90269, -10.74982, 0.71031, 0.51496
-5.98887, -10.80804, 0.75952, 0.52790
-6.06740, -10.87346, 0.77963, 0.53246
-6.13249, -10.94773, 0.75930, 0.53879
-6.17847, -11.03244, 0.72945, 0.54268
-6.20415, -11.12695, 0.70379, 0.54135
-6.21363, -11.22804, 0.66594, 0.53572
-6.21129, -11.33233, 0.63941, 0.52123
-6.20148, -11.43648, 0.62974, 0.50583
-6.18710, -11.53838, 0.63708, 0.48634
-6.16857, -11.63808, 0.65861, 0.46342
-6.14608, -11.73582, 0.66660, 0.45374
-6.11982, -11.83185, 0.67705, 0.45514
-6.08997, -11.92641, 0.67982, 0.45899
-6.05672, -12.01975, 0.67741, 0.45924
-6.02026, -12.11210, 0.66708, 0.45961
-5.98082, -12.20370, 0.65450, 0.46024
-5.93909, -12.29474, 0.64658, 0.46347
-5.89602, -12.38535, 0.64931, 0.47685
-5.85255, -12.47566, 0.66389, 0.49234
-5.80965, -12.56583, 0.68940, 0.51688
-5.76822, -12.65598, 0.71922, 0.53691
-5.72730, -12.74627, 0.75339, 0.54917
-5.68357, -12.83688, 0.76297, 0.55846
-5.63372, -12.92763, 0.74929, 0.57188
-5.57588, -13.01480, 0.72751, 0.58522
-5.50906, -13.09272, 0.71407, 0.59643
-5.43223, -13.15565, 0.70495, 0.60168
-5.34443, -13.19800, 0.68605, 0.60608
-5.24731, -13.22101, 0.66473, 0.60820
-5.14636, -13.23619, 0.64966, 0.60906
-5.04548, -13.25097, 0.63419, 0.60853
-4.94511, -13.26412, 0.62217, 0.60447
-4.84535, -13.27353, 0.61382, 0.59953
-4.74630, -13.27706, 0.60690, 0.59236
-4.64806, -13.27259, 0.60021, 0.59065
-4.55067, -13.25859, 0.59360, 0.59528
-4.45400, -13.23642, 0.58702, 0.60865
-4.35786, -13.20827, 0.58109, 0.62750
-4.26203, -13.17638, 0.57675, 0.64422
-4.16631, -13.14294, 0.57495, 0.65178
-4.07052, -13.11018, 0.57663, 0.64785
-3.97452, -13.07956, 0.58248, 0.63678
-3.87843, -13.05066, 0.59157, 0.62392
-3.78237, -13.02275, 0.59870, 0.61508
-3.68649, -12.99512, 0.60737, 0.60980
-3.59090, -12.96704, 0.61363, 0.60645
-3.49576, -12.93778, 0.61472, 0.59815
-3.40118, -12.90666, 0.61353, 0.59306
-3.30717, -12.87352, 0.60788, 0.59296
-3.21363, -12.83872, 0.59966, 0.59672
-3.12046, -12.80259, 0.59003, 0.60172
-3.02754, -12.76549, 0.58082, 0.60549
-2.93477, -12.72778, 0.57309, 0.60620
-2.84204, -12.68981, 0.56651, 0.60572
-2.74925, -12.65193, 0.56082, 0.60202
