s,left,right
0,0.70800797972295,0.551019089118707
0.01,0.708392547443419,0.550217988801716
0.02,0.708765386583231,0.549420465332052
0.03,0.709126629250227,0.548626174327569
0.04,0.709476407552247,0.547834771406121
0.05,0.709814853597134,0.547045912185562
0.06,0.710142099492727,0.546259252283747
0.07,0.710458277346869,0.545474447318531
0.08,0.710763519267399,0.544691152907767
0.09,0.711057957362403,0.543909024668303
0.1,0.711341723907797,0.543127717527056
0.11,0.711614951639592,0.542346884519511
0.12,0.711877773371942,0.541566178359915
0.13,0.712130321919004,0.540785251762513
0.14,0.712372730118848,0.540003757342095
0.15,0.712605131063939,0.539221346655597
0.16,0.712827658000288,0.538437670621428
0.17,0.713040444176032,0.537652380149169
0.18,0.713243622840851,0.536865126142736
0.19,0.71343732742142,0.536075558855775
0.2,0.713621691683171,0.535283327297377
0.21,0.713796849429766,0.534488080336176
0.22,0.713962934464867,0.533689466840803
0.23,0.714120080601354,0.532887135606902
0.24,0.714268421716162,0.532080734922691
0.25,0.714408091713429,0.531269912860917
0.26,0.714539224497394,0.530454317493535
0.27,0.714661953987043,0.529633596854934
0.28,0.714776414736715,0.528807397360897
0.29,0.714882742163882,0.527975363228314
0.3,0.714981071747671,0.527137138517017
0.31,0.715071538967204,0.526292367286841
0.32,0.715154278724796,0.525440694905897
0.33,0.715229423215946,0.524581772881705
0.34,0.715297103842844,0.523715254521122
0.35,0.715357452007575,0.522840793131236
0.36,0.715410599486436,0.521958041157386
0.37,0.715456686245823,0.521066632184539
0.38,0.715495860217145,0.52016618145561
0.39,0.715528269660996,0.519256303455457
0.4,0.715554062833735,0.518336612678733
0.41,0.715573375308799,0.517406752954711
0.42,0.715586302041273,0.516466462059782
0.43,0.715592929871698,0.515515496538644
0.44,0.715593345640615,0.514553612935997
0.45,0.715587647813417,0.513580543129476
0.46,0.715576084885601,0.512595700644073
0.47,0.715559009721073,0.511598277542829
0.48,0.715536777297531,0.51058746140348
0.49,0.715509743148629,0.509562440797935
0.5,0.715478377451523,0.508522609306433
0.51,0.715443404605037,0.507467815114661
0.52,0.715405583164892,0.506397967488507
0.53,0.715365671686811,0.505312975693864
0.54,0.715324423336152,0.504212440324749
0.55,0.715282546788366,0.503093414321177
0.56,0.715240728800593,0.501951695500978
0.57,0.715199655976368,0.500783072885857
0.58,0.715160014940402,0.499583429133013
0.59,0.715122493620508,0.498354408206718
0.6,0.715087781983142,0.497106667411815
0.61,0.715056570172351,0.495851649214262
0.62,0.715029548332182,0.494600796080019
0.63,0.715007413505201,0.4933586819795
0.64,0.714990900772446,0.492092007974302
0.65,0.714980758254805,0.49075449202976
0.66,0.714977734084779,0.489299840550722
0.67,0.714982571251689,0.487685350863919
0.68,0.714995867042209,0.485970048608279
0.69,0.715018055959636,0.484326613347283
0.7,0.715049563934784,0.482933709880296
0.71,0.7150908168968,0.48197000226058
0.72,0.715142059099907,0.481532631881348
0.73,0.71520285318971,0.481412883140054
0.74,0.715272601991135,0.481330324390141
0.75,0.715350708329109,0.481004523985055
0.76,0.715436641732808,0.480170443887355
0.77,0.715530930762912,0.478807443026345
0.78,0.715634951560606,0.47709047989977
0.79,0.71575010402241,0.475199995120118
0.8,0.715877784136023,0.473316304467268
0.81,0.716017612153459,0.471563013659083
0.82,0.716164630656817,0.469917535515455
0.83,0.716313154578464,0.468334044565926
0.84,0.716457498850768,0.466766715340039
0.85,0.716593568883485,0.465173375341548
0.86,0.716732971454841,0.463547914639109
0.87,0.716896259543291,0.461904770741364
0.88,0.71710409005569,0.460258619857474
0.89,0.71737692114963,0.458624082740046
0.9,0.717716483882597,0.457010554761821
0.91,0.718090698197869,0.455417997057748
0.92,0.718463934259054,0.453845380275885
0.93,0.718800562229757,0.452291675064287
0.94,0.719070819859382,0.450756084295552
0.95,0.719283080117,0.449239320140006
0.96,0.719460956800799,0.447742697962316
0.97,0.719628103771454,0.446267534712725
0.98,0.719807837383883,0.444815219033385
0.99,0.720010686386118,0.443389855869649
1,0.720230758051455,0.441999038364838
1.01,0.720461081091976,0.44065058876685
1.02,0.720694684219762,0.439352329323586
1.03,0.720925749352109,0.438108203942796
1.04,0.721153533086348,0.436905089894755
1.05,0.721378687485987,0.435725171362656
1.06,0.72160186465535,0.43455063239242
1.07,0.721823664842443,0.433366122537173
