# x_m, y_m, w_tr_right_m, w_tr_left_m
6.60980, 7.43946, 0.73366, 0.75870
6.68438, 7.37261, 0.73882, 0.76173
6.75854, 7.30536, 0.73831, 0.75849
6.83185, 7.23732, 0.73479, 0.75745
6.90389, 7.16808, 0.72906, 0.75861
6.97425, 7.09726, 0.72198, 0.76188
7.04291, 7.02482, 0.71496, 0.76894
7.11070, 6.95148, 0.71054, 0.77595
7.17853, 6.87805, 0.71204, 0.78304
7.24731, 6.80533, 0.72142, 0.78918
7.31798, 6.73412, 0.74763, 0.79170
7.39093, 6.66481, 0.77899, 0.79256
7.46393, 6.59557, 0.81850, 0.79335
7.53394, 6.52393, 0.86066, 0.80052
7.59789, 6.44736, 0.88000, 0.81892
7.65275, 6.36344, 0.87826, 0.86503
7.69596, 6.27182, 0.88235, 0.93111
7.72562, 6.17490, 0.88124, 1.02473
7.73987, 6.07525, 0.88279, 1.16200
7.73750, 5.97523, 0.88435, 1.12952
7.72066, 5.87616, 0.88023, 1.09536
7.69262, 5.77902, 0.86699, 1.03944
7.65657, 5.68474, 0.83981, 0.98773
7.61466, 5.59358, 0.81049, 0.94738
7.56790, 5.50510, 0.78075, 0.91257
7.51728, 5.41884, 0.74056, 0.88435
7.46377, 5.33432, 0.71264, 0.86035
7.40825, 5.25114, 0.68371, 0.84324
7.35104, 5.16910, 0.66269, 0.82439
7.29238, 5.08808, 0.65217, 0.81109
7.23246, 5.00797, 0.64665, 0.79749
7.17150, 4.92864, 0.64908, 0.78760
7.10969, 4.84998, 0.65779, 0.77581
7.04715, 4.77192, 0.67100, 0.76713
6.98390, 4.69445, 0.68774, 0.75876
6.91997, 4.61754, 0.69941, 0.74849
6.85540, 4.54117, 0.70574, 0.74135
6.79022, 4.46532, 0.70706, 0.73520
6.72445, 4.38997, 0.70711, 0.73061
6.65813, 4.31510, 0.70824, 0.72647
6.59125, 4.24071, 0.71202, 0.72493
6.52380, 4.16684, 0.71805, 0.72474
6.45575, 4.09353, 0.72608, 0.72575
6.38707, 4.02081, 0.73523, 0.72817
6.31774, 3.94873, 0.74307, 0.73156
6.24773, 3.87731, 0.74998, 0.73540
6.17701, 3.80661, 0.75648, 0.74098
6.10557, 3.73663, 0.75997, 0.74581
6.03351, 3.66730, 0.76170, 0.75072
