s,left,right
0.0,0.7587023239093285,0.7336577327039951
0.01,0.75885841041935,0.7343424059689936
0.02,0.7592847048372227,0.7349992912844343
0.03,0.7598151770548864,0.7356132773980646
0.04,0.760283796964282,0.7361692530576321
0.05,0.7605256997063295,0.7366523185903916
0.06,0.7605373152436741,0.7370768613511173
0.07,0.7606398913769709,0.7375162473329477
0.08,0.7611027317337812,0.7380264335009544
0.09,0.7616306969913422,0.738511369337229
0.1,0.7617283760736732,0.738821600129116
0.11,0.7613177552273611,0.7389339196791146
0.12,0.7607682964647717,0.7389604524015605
0.13,0.760364088842728,0.7389875706699939
0.14,0.7600628549614696,0.7390031484429319
0.15,0.7597684129247938,0.7389788012291078
0.16,0.7594632654561714,0.7389099922767542
0.17,0.7591748354645907,0.7388057956358818
0.18,0.7589188041276074,0.7386715030063428
0.19,0.7586915995485456,0.738506220090202
0.2,0.7584881647415281,0.7383089201740026
0.21,0.7583043687057919,0.7380804893378125
0.22,0.7581371913530044,0.7378223502326297
0.23,0.757998055947929,0.7375355270984812
0.24,0.7579104581665522,0.7372207088202853
0.25,0.7578745193791279,0.7368786309676577
0.26,0.7578349544379522,0.7365101624367049
0.27,0.7577389930418322,0.7361161865786463
0.28,0.7576100815832894,0.7356975536296151
0.29,0.7575046810109469,0.7352550993111102
0.3,0.7574485548558818,0.7347896668171572
0.31,0.7574295440733111,0.734302108609447
0.32,0.7574365688777235,0.7337932774629983
0.33,0.7574706618793497,0.7332640252437798
0.34,0.7575355048152557,0.7327152037852012
0.35,0.7576342920368304,0.7321476669529645
0.36,0.7577698439518425,0.7315622699619372
0.37,0.7579400537686867,0.7309598687051895
0.38,0.7581339193989505,0.7303413202585689
0.39,0.758346672433596,0.7297074821394527
0.4,0.758612949370332,0.7290592136086574
0.41,0.7589757778117833,0.7283973745401686
0.42,0.7593683369413413,0.7277228251828672
0.43,0.7596178131601478,0.7270364261500254
0.44,0.7596509078090992,0.7263390397331752
0.45,0.7596758412687871,0.7256315327332342
0.46,0.7599199417666115,0.7249147715467089
0.47,0.7603656548398272,0.724189612463394
0.48,0.760870850212788,0.7234569215762505
0.49,0.7613640965315112,0.7227182739882356
0.5,0.7618752610121933,0.7219762459852164
0.51,0.7624340723429691,0.7212334929908845
0.52,0.7630378431882477,0.7204926850589646
0.53,0.7636758407730168,0.7197564959684812
0.54,0.7643429787410109,0.7190275983311017
0.55,0.7650384706424821,0.7183086638750953
0.56,0.7657636913996534,0.7176023647732941
0.57,0.7665243069646257,0.7169113741732095
0.58,0.7673227350899776,0.7162383661867534
0.59,0.7681369060049017,0.7155860203734512
0.6,0.768937370527766,0.7149570180494387
0.61,0.769760614077068,0.7143540290699664
0.62,0.7707161988796016,0.713779710587058
0.63,0.7718040104977462,0.7132367400331603
0.64,0.7726652087313913,0.712727861040038
0.65,0.7729314914340885,0.7122558093489902
0.66,0.7728728031074493,0.7118231025054064
0.67,0.773132663012096,0.711432135668783
0.68,0.7739725912006915,0.7110857987125196
0.69,0.7750253546371972,0.7107877880316348
0.7,0.7759525195509497,0.7105411719149225
0.71,0.7768369448900847,0.7103455959960496
0.72,0.7778717375695573,0.7102002065710188
0.73,0.7789236393282186,0.7101140062861111
0.74,0.7795757497238603,0.7101045295193886
0.75,0.7796766963280717,0.7101705809798965
0.76,0.7797410590929573,0.710264921373392
0.77,0.7802996099451827,0.7103554982150926
0.78,0.7812514152546339,0.7105786184856704
0.79,0.7822105689772679,0.7111424002332518
0.8,0.7830362100387142,0.7120359991634874
0.81,0.7839012755290861,0.7129694240364669
0.82,0.7848945482298881,0.7137208221939148
0.83,0.7857185607123759,0.7143870851757593
0.84,0.7860278582696876,0.7151310016784584
0.85,0.7859968497578551,0.7160177651613313
0.86,0.786153110485944,0.7170453508576237
0.87,0.7867720658834757,0.7181612505590312
0.88,0.7876437920166532,0.7192208013186169
0.89,0.7885136928551569,0.7201583969293406
0.9,0.7891768994611453,0.721418874202266
0.91,0.7894579749586131,0.7235959021311095
0.92,0.7894522910832705,0.7265368783806356
0.93,0.7895258729221885,0.729343008207351
0.94,0.7899244265438041,0.7313845873839073
0.95,0.7905216434420804,0.7328811672190096
0.96,0.7911299956957162,0.7342283747081396
0.97,0.7915964806405743,0.7360734523876552
0.98,0.7917896152947741,0.7391815407810148
0.99,0.7917372411195178,0.7434726701922689
1.0,0.7916999116991602,0.7476293031039549
1.01,0.7918807868089587,0.7505878978210161
1.02,0.7921545976237039,0.7528097366794665
1.03,0.7923185445394545,0.7551357382571905
1.04,0.7923447274152927,0.7578986834851809
1.05,0.792342490815544,0.7610311991721799
1.06,0.7923816696273804,0.7643175565651374
1.07,0.792438470090941,0.7672439125440499
1.08,0.7924821328068792,0.7695282607079229
1.09,0.7925175052033846,0.7727143571401653
1.1,0.7925635671205666,0.7789911574089329
1.11,0.7926221123952474,0.7872932185524836
1.12,0.7926751635669058,0.7928187731797796
1.13,0.7927101128898145,0.7929521189384369
1.14,0.792735577719736,0.7929385134500961
1.15,0.7927646168472062,0.7988823942541187
1.16,0.7928112408612917,0.8086629996115234
1.17,0.792889956327645,0.8151558534815228
1.18,0.7930084607738985,0.8157020125045156
1.19,0.793162975806399,0.8152840180018738
1.2,0.7933529690894487,0.8185026026775145
1.21,0.793599967997488,0.8242994166720359
1.22,0.7939294971308937,0.829935775701095
1.23,0.7943096960710138,0.8347924635189512
1.24,0.7946572055417791,0.840160477722549
1.25,0.79499505012713,0.8463717928524804
1.26,0.7956183378235167,0.8511752946623932
1.27,0.796798409273158,0.8524513162218798
1.28,0.7982811247407874,0.8523172152537755
1.29,0.7995696269430979,0.854834144904146
1.3,0.8005234073243739,0.860657477384398
1.31,0.8014734592459586,0.8659393375362008
1.32,0.8026678642626152,0.8676941240573498
1.33,0.8039120945428815,0.8674342572138432
1.34,0.804954040078557,0.8675934431910857
1.35,0.8061878584806194,0.8684886118747971
