# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.31486, -1.19400, 0.54065, 0.55382
-2.31363, -1.29409, 0.53871, 0.54528
-2.31130, -1.39411, 0.53727, 0.53841
-2.30911, -1.49406, 0.53558, 0.53622
-2.30826, -1.59395, 0.53391, 0.54201
-2.30991, -1.69378, 0.52824, 0.55593
-2.31418, -1.79356, 0.52370, 0.57111
-2.32049, -1.89330, 0.51426, 0.59173
-2.32827, -1.99302, 0.50455, 0.60406
-2.33693, -2.09274, 0.49822, 0.61749
-2.34589, -2.19246, 0.48868, 0.62544
-2.35455, -2.29220, 0.48018, 0.63231
-2.36234, -2.39198, 0.47322, 0.63833
-2.36866, -2.49180, 0.46826, 0.64278
-2.37306, -2.59168, 0.46563, 0.64487
-2.37566, -2.69161, 0.46502, 0.64474
-2.37685, -2.79158, 0.46584, 0.64260
-2.37697, -2.89159, 0.46679, 0.63644
-2.37640, -2.99162, 0.46851, 0.62921
-2.37548, -3.09167, 0.47049, 0.62180
-2.37458, -3.19171, 0.47239, 0.61488
-2.37406, -3.29175, 0.47386, 0.60950
-2.37429, -3.39177, 0.47364, 0.60670
-2.37562, -3.49176, 0.47258, 0.60777
-2.37827, -3.59172, 0.47026, 0.61379
-2.38202, -3.69165, 0.46736, 0.62131
-2.38652, -3.79156, 0.46275, 0.62991
-2.39144, -3.89146, 0.45786, 0.63836
-2.39645, -3.99135, 0.45311, 0.64731
-2.40123, -4.09124, 0.44915, 0.65193
-2.40544, -4.19115, 0.44421, 0.65509
-2.40875, -4.29107, 0.43992, 0.65665
-2.41094, -4.39102, 0.43642, 0.65665
-2.41209, -4.49099, 0.43352, 0.65546
-2.41231, -4.59098, 0.43102, 0.65341
-2.41174, -4.69097, 0.42959, 0.65065
-2.41049, -4.79098, 0.42721, 0.64722
-2.40868, -4.89100, 0.42558, 0.64317
-2.40645, -4.99101, 0.42485, 0.63856
-2.40390, -5.09103, 0.42519, 0.63344
-2.40117, -5.19103, 0.42617, 0.62804
-2.39838, -5.29103, 0.42746, 0.62284
-2.39565, -5.39101, 0.42974, 0.61832
-2.39307, -5.49098, 0.43300, 0.61500
-2.39071, -5.59094, 0.43678, 0.61274
-2.38861, -5.69091, 0.43969, 0.61338
-2.38685, -5.79087, 0.44444, 0.61652
-2.38549, -5.89085, 0.45015, 0.62165
-2.38457, -5.99085, 0.45412, 0.62768
-2.38417, -6.09087, 0.45995, 0.63374
-2.38434, -6.19093, 0.46518, 0.63884
-2.38509, -6.29101, 0.46921, 0.64133
-2.38623, -6.39111, 0.47057, 0.64300
-2.38752, -6.49120, 0.47051, 0.64416
-2.38871, -6.59125, 0.46831, 0.64511
-2.38956, -6.69123, 0.46481, 0.64613
-2.38985, -6.79114, 0.46088, 0.64752
-2.38932, -6.89093, 0.45741, 0.64962
-2.38781, -6.99060, 0.45575, 0.65282
-2.38547, -7.09019, 0.45386, 0.65787
-2.38257, -7.18977, 0.45392, 0.66503
-2.37937, -7.28938, 0.45614, 0.67213
-2.37613, -7.38910, 0.45938, 0.67564
-2.37311, -7.48898, 0.46281, 0.67188
-2.37058, -7.58909, 0.46689, 0.66463
-2.36879, -7.68948, 0.47033, 0.65151
-2.36801, -7.79021, 0.47174, 0.64251
-2.36844, -7.89134, 0.47112, 0.63668
-2.36895, -7.99259, 0.46988, 0.63461
-2.36730, -8.09343, 0.47133, 0.63530
-2.36121, -8.19333, 0.47867, 0.63534
-2.34839, -8.29174, 0.50330, 0.63328
-2.32657, -8.38814, 0.54214, 0.62763
-2.29507, -8.48226, 0.58340, 0.62035
-2.25556, -8.57430, 0.61207, 0.60731
-2.20990, -8.66448, 0.62272, 0.59202
-2.15995, -8.75302, 0.62462, 0.57230
-2.10646, -8.83937, 0.62824, 0.56400
-2.04814, -8.92154, 0.63305, 0.55912
-1.98349, -8.99741, 0.63186, 0.55577
-1.91100, -9.06486, 0.62713, 0.55213
-1.83027, -9.12288, 0.62725, 0.54586
-1.74303, -9.17259, 0.62910, 0.53875
-1.65125, -9.21539, 0.62901, 0.53140
-1.55689, -9.25266, 0.62212, 0.52721
-1.46129, -9.28525, 0.60789, 0.52774
-1.36470, -9.31314, 0.59190, 0.53098
-1.26725, -9.33618, 0.57059, 0.53608
-1.16908, -9.35424, 0.55458, 0.54165
-1.07032, -9.36721, 0.54134, 0.54391
-0.97110, -9.37511, 0.53011, 0.54259
-0.87150, -9.37875, 0.52593, 0.53592
-0.77160, -9.37909, 0.52464, 0.52860
-0.67148, -9.37713, 0.52490, 0.51495
-0.57120, -9.37387, 0.52548, 0.50307
-0.47084, -9.37028, 0.52504, 0.49715
-0.37048, -9.36735, 0.52340, 0.49818
-0.27018, -9.36604, 0.51844, 0.50738
-0.16998, -9.36667, 0.51247, 0.51720
-0.06989, -9.36908, 0.50621, 0.52738
0.03009, -9.37309, 0.49862, 0.53916
0.12995, -9.37854, 0.49431, 0.54665
0.22968, -9.38525, 0.48926, 0.55365
0.32929, -9.39305, 0.48630, 0.55564
0.42876, -9.40176, 0.48399, 0.55515
0.52812, -9.41115, 0.48138, 0.54973
0.62747, -9.42093, 0.47875, 0.54524
0.72691, -9.43076, 0.47592, 0.54457
0.82653, -9.44032, 0.47190, 0.55064
0.92645, -9.44929, 0.46597, 0.56020
1.02671, -9.45725, 0.45904, 0.56744
1.12716, -9.46305, 0.45204, 0.56689
1.22750, -9.46520, 0.44579, 0.56300
1.32747, -9.46222, 0.44119, 0.55875
1.42676, -9.45261, 0.44160, 0.55582
1.52507, -9.43498, 0.44979, 0.55387
1.62171, -9.40863, 0.46574, 0.55445
1.71583, -9.37325, 0.48641, 0.55509
1.80659, -9.32850, 0.51142, 0.55443
1.89249, -9.27408, 0.52505, 0.55230
1.97018, -9.20967, 0.53353, 0.54549
2.03592, -9.13497, 0.54336, 0.53753
2.08703, -9.05018, 0.54336, 0.52343
