x_m,y_m
1.0998330116271973,-4.308990478515625
1.0683417320251465,-4.928566932678223
1.1207482814788818,-5.275115966796875
1.2651677131652832,-5.541247367858887
1.4564344882965088,-5.725484848022461
1.6476235389709473,-5.780951499938965
1.8851667642593384,-5.801130771636963
2.1225345134735107,-5.793276786804199
2.3788058757781982,-5.740233421325684
2.5189287662506104,-5.505266189575195
2.5571541786193848,-5.276935577392578
2.6044678688049316,-5.021514892578125
2.6439926624298096,-4.565155029296875
2.646832227706909,-4.136227130889893
2.650221109390259,-3.5878870487213135
2.6454408168792725,-2.9302220344543457
2.623835563659668,-2.0531580448150635
2.582160472869873,-1.4231092929840088
2.5849037170410156,-1.0393211841583252
2.5220487117767334,-0.64859938621521
2.414483070373535,-0.37424278259277344
2.26949143409729,-0.1725749969482422
2.069157838821411,-0.07096242904663086
1.7594578266143799,0.07676315307617188
1.3482043743133545,0.12217855453491211
0.6545722484588623,0.13566303253173828
-0.13026641309261322,0.10125160217285156
-0.7860581874847412,0.10192441940307617
-1.2783844470977783,0.0781245231628418
-1.7611539363861084,-0.07662057876586914
-2.090665102005005,-0.3386969566345215
-2.266270637512207,-0.7105274200439453
-2.314706563949585,-1.146796703338623
-2.308521270751953,-1.6295828819274902
-2.3692240715026855,-2.502406358718872
-2.375488519668579,-3.4850449562072754
-2.408353090286255,-4.2769904136657715
-2.3969929218292236,-5.341442108154297
-2.3843295574188232,-6.188060283660889
-2.3892436027526855,-6.898285865783691
-2.3680624961853027,-7.835476398468018
-2.335193395614624,-8.355334281921387
-2.1737544536590576,-8.729276657104492
-1.9296965599060059,-9.049110412597656
-1.5848133563995361,-9.242186546325684
-1.067444086074829,-9.367507934570312
-0.3296496868133545,-9.366580963134766
0.3998124599456787,-9.399137496948242
0.9471662044525146,-9.451038360595703
1.450002908706665,-9.449226379394531
1.7979199886322021,-9.333280563354492
2.0367801189422607,-9.133800506591797
2.176180124282837,-8.7415771484375
2.205895185470581,-8.385703086853027
2.162632465362549,-8.039422988891602
2.0002660751342773,-7.736844539642334
1.6997079849243164,-7.579164505004883
1.1880762577056885,-7.528685569763184
0.7865145206451416,-7.516543388366699
0.19452621042728424,-7.337389945983887
-0.24099968373775482,-6.997254848480225
-0.4118008613586426,-6.6228108406066895
-0.5603539347648621,-5.719082832336426
-0.5832370519638062,-5.044869422912598
-0.5950957536697388,-4.078814506530762
-0.591128945350647,-3.4780361652374268
-0.5964909791946411,-2.913572072982788
-0.5835909843444824,-2.3397421836853027
-0.3338179588317871,-1.7201578617095947
-0.09567378461360931,-1.5669217109680176
0.4332888126373291,-1.5704476833343506
0.815169095993042,-1.8077654838562012
1.0592875480651855,-2.1471734046936035
1.1284006834030151,-2.7586843967437744
1.132596731185913,-3.4968421459198
1.0998330116271973,-4.308990478515625
