x_m,y_m
6.609800338745117,7.4394636154174805
6.957976341247559,7.113973140716553
7.323688507080078,6.728567123413086
7.631992340087891,6.398177146911621
7.74033784866333,6.066174507141113
7.675252914428711,5.731066703796387
7.461982727050781,5.331577777862549
7.147674083709717,4.898131370544434
6.68776273727417,4.348422050476074
6.156219005584717,3.7860944271087646
5.480109214782715,3.14138126373291
5.091366767883301,2.741300106048584
4.368380069732666,2.009190082550049
3.7596027851104736,1.418580412864685
3.1269547939300537,0.729469895362854
2.5255088806152344,0.20104146003723145
1.9879213571548462,-0.08745861053466797
1.6250529289245605,-0.12528586387634277
1.3662116527557373,-0.06699049472808838
1.14285147190094,0.07328283786773682
0.9131591320037842,0.2562767267227173
0.7400665283203125,0.44912010431289673
0.6622335910797119,0.6556301116943359
0.6556944847106934,0.9237829446792603
0.7036987543106079,1.195967674255371
0.928560733795166,1.5832269191741943
1.4001439809799194,2.268066883087158
2.0815908908843994,3.062486171722412
2.3891634941101074,3.537818431854248
2.5979957580566406,4.123806476593018
2.7404744625091553,4.850599765777588
2.766972541809082,5.487363815307617
2.8737449645996094,6.072622776031494
2.9804680347442627,6.653099060058594
3.0953941345214844,7.207788944244385
3.3215367794036865,7.636074066162109
3.5940067768096924,7.956453800201416
3.916823625564575,8.246755599975586
4.34157133102417,8.55243968963623
4.7464399337768555,8.670452117919922
5.225820541381836,8.607410430908203
5.680270671844482,8.355274200439453
6.044533729553223,7.973208427429199
6.609800338745117,7.4394636154174805
