s,left,right
0.0,1.0203251123457775,1.0460041103624678
0.01,1.0205144452283013,1.0452911932541535
0.02,1.0207246500280096,1.0445791522528918
0.03,1.0209554271959238,1.043866731976033
0.04,1.0212064771830642,1.0431526770409274
0.05,1.0214775004404526,1.0424357320649238
0.06,1.0217681974191093,1.0417146416653726
0.07,1.0220782685700551,1.040988150459624
0.08,1.0224074143443114,1.0402550030650273
0.09,1.0227553351885765,1.0395140324647507
0.1,1.0231217313713883,1.0387677137411067
0.11,1.0235063029238185,1.038023376479559
0.12,1.0239087498604462,1.0372886874057372
0.13,1.0243287721958194,1.036571309548009
0.14,1.0247660698794485,1.0358713172712015
0.15,1.025220342659102,1.0351652454294524
0.16,1.0256912902435487,1.0344250782402757
0.17,1.0261786123415564,1.033622799921187
0.18,1.026682008633712,1.0327409971157095
0.19,1.0272011785787416,1.0318457238083614
0.2,1.0277358215303585,1.031042541285991
0.21,1.0282856368416489,1.0304372468107204
0.22,1.0288503238615025,1.0301306708527935
0.23,1.0294295818302377,1.0300951587450797
0.24,1.0300231098724624,1.0301661176266033
0.25,1.030630607107154,1.030172295081347
0.26,1.031251772652793,1.0299426734598425
0.27,1.0318863054684857,1.0293810319782166
0.28,1.032533904127115,1.0285724142713522
0.29,1.0331942671441994,1.0276287862793276
0.3,1.0338670930352576,1.0266621139422207
0.31,1.0345520804057684,1.0257690417075722
0.32,1.0352489284016664,1.0249541674262668
0.33,1.0359573363697732,1.0241878752146887
0.34,1.0366770036572444,1.0234404921494071
0.35,1.037407629480338,1.0226834574835992
0.36,1.0381489107581594,1.0219077281219393
0.37,1.03890054245057,1.0211209076046153
0.38,1.0396622194546499,1.0203311328844347
0.39,1.0404336367103926,1.0195465140641415
0.4,1.0412144940520842,1.0187720989388194
0.41,1.0420045006631684,1.0180070856324896
0.42,1.0428033667797532,1.017250013628405
0.43,1.043610802637947,1.0164994224098192
0.44,1.0444265100935348,1.0157539349619165
0.45,1.0452501521834698,1.0150125610625986
0.46,1.0460813807127713,1.0142744224052889
0.47,1.0469198474853234,1.013538640694715
0.48,1.0477652140662177,1.0128046646926387
0.49,1.0486172643218332,1.0120760409634657
0.5,1.0494758654270222,1.011359107388686
0.51,1.050340886157109,1.0106602554749264
0.52,1.0512121899109406,1.0099856800333156
0.53,1.0520893354503222,1.0093304308974662
0.54,1.0529714193924111,1.0086726505947279
0.55,1.0538574997510182,1.0079890693704532
0.56,1.0547466345644845,1.0072564183731403
0.57,1.0556384431740837,1.006472095608449
0.58,1.056534557548812,1.005707602898614
0.59,1.0574370605808003,1.0050510448011927
0.6,1.0583480351621795,1.0045905258737415
0.61,1.0592688273028694,1.004398983281856
0.62,1.0601939605030886,1.004408925127825
0.63,1.0611142641910554,1.0044768237010675
0.64,1.0620205314224744,1.0044584026283931
0.65,1.0629041009635556,1.0042124906639742
0.66,1.0637745230732396,1.0037015411101187
0.67,1.0646634013789038,1.0030134923335672
0.68,1.0656036624294531,1.002243810208424
0.69,1.0666281853548842,1.0014879241971228
0.7,1.067733036096963,1.0008129959317094
0.71,1.0688116431991488,1.0002073746211222
0.72,1.0697396882081767,0.9996457820457232
0.73,1.0703928526707827,0.999102939985874
0.74,1.070675707765896,0.998556509819934
0.75,1.0706950753627142,0.9980047324795098
0.76,1.0706442001248149,0.9974546426486371
0.77,1.070716651568052,0.9969133080659465
0.78,1.0710989372504829,0.9963876030201358
0.79,1.0718239994739602,0.9958801951493649
0.8,1.072775981835622,0.9953896760125646
0.81,1.0738329195822358,0.9949144698411333
0.82,1.0748730767974655,0.9944530041494657
0.83,1.0758190588463554,0.9940043425917415
0.84,1.07669042795282,0.9935689398084508
0.85,1.077519564599415,0.9931474343365354
0.86,1.0783388492686956,0.9927404647129365
0.87,1.079175638243986,0.9923485548927935
0.88,1.0800303045315374,0.9919716134510856
0.89,1.0808942014608844,0.991609343260198
0.9,1.0817586759873337,0.9912614470471456
0.91,1.0826154670098682,0.9909276375134854
0.92,1.0834622380773091,0.9906077781367087
0.93,1.0843012444344229,0.9903018492480044
0.94,1.0851348612383873,0.9900098342302026
0.95,1.0859654513166603,0.9897317151075539
0.96,1.0867943634204793,0.9894673621658958
0.97,1.0876211924296755,0.9892164524365524
0.98,1.0884453588670058,0.9889786437388963
0.99,1.0892662832552253,0.9887535938923002
1.0,1.0900835133006612,0.9885411222105054
1.01,1.0908971246224262,0.988341718337085
1.02,1.0917073297918294,0.9881560458139267
1.03,1.0925143413804284,0.9879847681832329
1.04,1.093318360719464,0.9878283520219782
