# x_m, y_m, w_tr_right_m, w_tr_left_m
0.08050, -1.60172, 0.64269, 0.67040
-0.01714, -1.62401, 0.67940, 0.66306
-0.11197, -1.65728, 0.75439, 0.65599
-0.20308, -1.70290, 0.84079, 0.65273
-0.28729, -1.76073, 0.97867, 0.65095
-0.36022, -1.82985, 1.03427, 0.64909
-0.41759, -1.90934, 0.93436, 0.64391
-0.45869, -1.99775, 0.83174, 0.63734
-0.48693, -2.09302, 0.77820, 0.59602
-0.50596, -2.19307, 0.74366, 0.54626
-0.51943, -2.29582, 0.71591, 0.51055
-0.53099, -2.39919, 0.69927, 0.48905
-0.54393, -2.50129, 0.68104, 0.48285
-0.55878, -2.60176, 0.66157, 0.48937
-0.57473, -2.70098, 0.64218, 0.50522
-0.59099, -2.79932, 0.62412, 0.52554
-0.60676, -2.89714, 0.60854, 0.53912
-0.62124, -2.99484, 0.59581, 0.55908
-0.63363, -3.09277, 0.58668, 0.56918
-0.64321, -3.19128, 0.58327, 0.57883
-0.65004, -3.29043, 0.57972, 0.58382
-0.65467, -3.39009, 0.57711, 0.58662
-0.65766, -3.49014, 0.57313, 0.58712
-0.65956, -3.59045, 0.57012, 0.58711
-0.66092, -3.69090, 0.56745, 0.58635
-0.66229, -3.79135, 0.56509, 0.58536
-0.66422, -3.89169, 0.56278, 0.58436
-0.66723, -3.99181, 0.55981, 0.58316
-0.67140, -4.09170, 0.55583, 0.58183
-0.67661, -4.19146, 0.55074, 0.57933
-0.68272, -4.29117, 0.54447, 0.57795
-0.68959, -4.39090, 0.53729, 0.57940
-0.69710, -4.49073, 0.52966, 0.58194
-0.70509, -4.59075, 0.52222, 0.59017
-0.71311, -4.69093, 0.51295, 0.60260
-0.72047, -4.79116, 0.50781, 0.61651
-0.72644, -4.89134, 0.50505, 0.63270
-0.73031, -4.99135, 0.50449, 0.64851
-0.73138, -5.09109, 0.50553, 0.65802
-0.72893, -5.19045, 0.50957, 0.66476
-0.72236, -5.28935, 0.51505, 0.66577
-0.71220, -5.38790, 0.52663, 0.66044
-0.69961, -5.48634, 0.53832, 0.65237
-0.68575, -5.58493, 0.55170, 0.63512
-0.67178, -5.68389, 0.56544, 0.61602
-0.65888, -5.78348, 0.57811, 0.59783
-0.64821, -5.88392, 0.58832, 0.58490
-0.64093, -5.98547, 0.59467, 0.58171
-0.63718, -6.08804, 0.59697, 0.58806
-0.63380, -6.19048, 0.59839, 0.60448
-0.62693, -6.29146, 0.60401, 0.61906
-0.61276, -6.38961, 0.62008, 0.62869
-0.58745, -6.48360, 0.66313, 0.62875
-0.54790, -6.57234, 0.73640, 0.62549
-0.49637, -6.65679, 0.85386, 0.61903
-0.43747, -6.73877, 0.93955, 0.59949
-0.37583, -6.82013, 1.02317, 0.57736
-0.31604, -6.90268, 1.06247, 0.56728
-0.25998, -6.98677, 1.13178, 0.57238
-0.20382, -7.06962, 1.21800, 0.58638
-0.14301, -7.14805, 1.22659, 0.59553
-0.07320, -7.21899, 1.15818, 0.59866
0.00640, -7.28056, 1.07069, 0.59960
0.09364, -7.33194, 0.96362, 0.59645
0.18626, -7.37232, 0.88188, 0.58978
0.28222, -7.40146, 0.83337, 0.58119
0.38033, -7.42147, 0.80694, 0.56756
0.47963, -7.43506, 0.78910, 0.54766
0.57928, -7.44481, 0.78081, 0.53123
0.67902, -7.45258, 0.77096, 0.51249
0.77869, -7.46011, 0.76145, 0.50283
0.87817, -7.46910, 0.74627, 0.49866
0.97737, -7.48070, 0.73076, 0.50254
1.07642, -7.49418, 0.70581, 0.50861
1.17546, -7.50845, 0.68394, 0.51535
1.27464, -7.52244, 0.66851, 0.52758
1.37394, -7.53600, 0.65522, 0.53827
1.47286, -7.55140, 0.64366, 0.56088
1.57084, -7.57128, 0.63279, 0.59952
1.66732, -7.59828, 0.62871, 0.64067
1.76134, -7.63442, 0.62475, 0.69170
1.85104, -7.68030, 0.62033, 0.77492
1.93446, -7.73633, 0.61527, 0.87778
2.00969, -7.80278, 0.61220, 0.93622
2.07588, -7.87867, 0.60097, 0.90215
2.13278, -7.96219, 0.59025, 0.81135
2.18018, -8.05151, 0.58248, 0.71677
2.21787, -8.14487, 0.57759, 0.66210
2.24588, -8.24120, 0.57241, 0.62538
2.26436, -8.33989, 0.56952, 0.60423
2.27349, -8.44034, 0.56855, 0.59330
2.27342, -8.54195, 0.56992, 0.59068
2.26372, -8.64347, 0.57592, 0.59947
2.24321, -8.74291, 0.58066, 0.63071
2.21067, -8.83821, 0.58576, 0.68768
2.16489, -8.92732, 0.58879, 0.78127
2.10527, -9.00834, 0.59081, 0.87579
