# x_m, y_m, w_tr_right_m, w_tr_left_m
2.43007, -9.66930, 0.34453, 0.46583
2.50383, -9.59985, 0.41342, 0.46895
2.56423, -9.51746, 0.44364, 0.46764
2.60926, -9.42700, 0.43837, 0.46367
2.63928, -9.33183, 0.43006, 0.45831
2.65783, -9.23334, 0.42623, 0.45265
2.66868, -9.13275, 0.42313, 0.45399
2.67550, -9.03128, 0.41835, 0.46350
2.67917, -8.92993, 0.41334, 0.48108
2.67744, -8.82940, 0.41295, 0.51039
2.66789, -8.73040, 0.42251, 0.53091
2.64813, -8.63362, 0.45489, 0.55210
2.61738, -8.53942, 0.49694, 0.57967
2.57752, -8.44759, 0.55828, 0.60840
2.53070, -8.35786, 0.62355, 0.64572
2.47905, -8.26999, 0.67539, 0.69464
2.42393, -8.18425, 0.74861, 0.72935
2.36433, -8.10263, 0.85340, 0.76971
2.29875, -8.02747, 0.99461, 0.78271
2.22572, -7.96109, 1.09558, 0.78536
2.14461, -7.90465, 1.09866, 0.78979
2.05733, -7.85597, 1.06624, 0.79050
1.96622, -7.81230, 1.04113, 0.78424
1.87362, -7.77086, 1.00575, 0.77336
1.78155, -7.72937, 0.95652, 0.75920
1.68995, -7.68843, 0.90493, 0.74837
1.59795, -7.64984, 0.85739, 0.73997
1.50468, -7.61536, 0.79806, 0.72337
1.40944, -7.58632, 0.74484, 0.70808
1.31290, -7.56041, 0.71746, 0.68424
1.21640, -7.53360, 0.68147, 0.65137
1.12126, -7.50186, 0.66766, 0.61713
1.02878, -7.46185, 0.63909, 0.59217
0.94014, -7.41327, 0.61943, 0.57375
0.85649, -7.35665, 0.60123, 0.56432
0.77896, -7.29254, 0.58474, 0.56878
0.70868, -7.22146, 0.57081, 0.59144
0.64566, -7.14424, 0.55699, 0.62658
0.58834, -7.06208, 0.54409, 0.65875
0.53505, -6.97619, 0.54265, 0.66819
0.48530, -6.88751, 0.54662, 0.65272
0.44185, -6.79616, 0.55435, 0.62150
0.40798, -6.70210, 0.56322, 0.58062
0.38699, -6.60532, 0.56741, 0.55447
0.38063, -6.50615, 0.56798, 0.55355
0.38692, -6.40576, 0.56622, 0.56946
0.40335, -6.30546, 0.56544, 0.59012
0.42765, -6.20664, 0.56847, 0.61100
0.46090, -6.11150, 0.57520, 0.64030
0.50616, -6.02277, 0.58143, 0.68332
0.56602, -5.94301, 0.57950, 0.67959
0.63895, -5.87345, 0.57888, 0.63223
0.72156, -5.81470, 0.57125, 0.60271
0.81061, -5.76722, 0.56330, 0.57995
0.90418, -5.73039, 0.55506, 0.56095
1.00099, -5.70308, 0.54258, 0.54227
1.09976, -5.68416, 0.52835, 0.52347
1.19926, -5.67243, 0.50860, 0.51280
1.29905, -5.66625, 0.48792, 0.50975
1.39903, -5.66375, 0.46533, 0.51417
1.49915, -5.66304, 0.44709, 0.52273
1.59932, -5.66219, 0.42802, 0.53486
1.69937, -5.65881, 0.41996, 0.54981
1.79902, -5.65011, 0.42091, 0.56263
1.89800, -5.63329, 0.43616, 0.57178
1.99545, -5.60597, 0.46239, 0.58015
2.08881, -5.56706, 0.47378, 0.58328
2.17519, -5.51569, 0.48197, 0.58252
2.25181, -5.45113, 0.50864, 0.58066
2.31737, -5.37476, 0.53442, 0.57055
2.37166, -5.28958, 0.51572, 0.55605
2.41458, -5.19854, 0.47747, 0.53143
2.44714, -5.10368, 0.45571, 0.51147
2.47124, -5.00625, 0.44954, 0.48535
2.48881, -4.90749, 0.44546, 0.46530
2.50144, -4.80840, 0.43815, 0.44872
2.50930, -4.70897, 0.42809, 0.44392
2.51219, -4.60893, 0.41791, 0.44676
2.50991, -4.50802, 0.41004, 0.45893
2.50143, -4.40660, 0.40651, 0.48064
2.48274, -4.30743, 0.41272, 0.50156
2.44913, -4.21378, 0.43756, 0.50618
2.39692, -4.12873, 0.47567, 0.51065
2.32830, -4.05417, 0.48895, 0.50976
2.24759, -3.99159, 0.49050, 0.50433
2.15905, -3.94233, 0.49348, 0.49654
2.06539, -3.90583, 0.49492, 0.48881
1.96825, -3.88007, 0.48909, 0.48046
1.86921, -3.86301, 0.47556, 0.47460
1.76962, -3.85259, 0.45658, 0.46745
1.66981, -3.84681, 0.44706, 0.45490
1.56984, -3.84366, 0.44357, 0.43823
1.46977, -3.84115, 0.44984, 0.41541
1.36973, -3.83750, 0.46026, 0.39632
1.26989, -3.83110, 0.46984, 0.38296
1.17043, -3.82034, 0.47258, 0.37475
1.07154, -3.80363, 0.47401, 0.37651
0.97390, -3.77965, 0.47799, 0.38976
0.87870, -3.74742, 0.49637, 0.41500
0.78721, -3.70596, 0.51473, 0.46094
0.70067, -3.65437, 0.53276, 0.53530
0.62062, -3.59281, 0.54796, 0.59560
0.54878, -3.52230, 0.55933, 0.59475
0.48689, -3.44392, 0.56626, 0.57621
0.43600, -3.35862, 0.56807, 0.56038
0.39568, -3.26719, 0.56486, 0.55218
0.36536, -3.17038, 0.55162, 0.54818
0.34442, -3.06895, 0.54032, 0.54764
0.33290, -2.96429, 0.53265, 0.54981
0.33231, -2.85938, 0.52648, 0.55694
0.34438, -2.75744, 0.51886, 0.56586
0.37085, -2.66170, 0.50897, 0.56822
0.41348, -2.57537, 0.50238, 0.55633
0.47278, -2.50042, 0.49580, 0.53253
0.54590, -2.43534, 0.46638, 0.50775
0.62939, -2.37802, 0.41943, 0.50250
0.71982, -2.32637, 0.38617, 0.51717
0.81375, -2.27827, 0.36901, 0.54359
0.90776, -2.23163, 0.35265, 0.57225
0.99957, -2.18516, 0.35346, 0.59528
1.08969, -2.13952, 0.36362, 0.61617
1.17902, -2.09564, 0.37931, 0.62925
1.26845, -2.05444, 0.39794, 0.63664
1.35887, -2.01687, 0.41799, 0.63725
1.45107, -1.98361, 0.43535, 0.63356
1.54502, -1.95386, 0.44821, 0.63160
1.64037, -1.92622, 0.45690, 0.63859
1.73679, -1.89926, 0.45790, 0.65459
1.83394, -1.87157, 0.45430, 0.67976
1.93146, -1.84174, 0.45165, 0.70506
2.02891, -1.80835, 0.45175, 0.71995
2.12475, -1.77000, 0.46029, 0.71444
2.21671, -1.72528, 0.47974, 0.69965
2.30253, -1.67276, 0.50601, 0.68705
2.37995, -1.61105, 0.53099, 0.66937
2.44672, -1.53876, 0.55010, 0.66154
2.50201, -1.45609, 0.54481, 0.63412
2.54720, -1.36578, 0.51186, 0.60057
2.58386, -1.27079, 0.46705, 0.55500
2.61351, -1.17389, 0.43118, 0.51437
2.63697, -1.07617, 0.40068, 0.48260
2.65473, -0.97778, 0.37666, 0.45076
2.66728, -0.87893, 0.36014, 0.43334
2.67505, -0.77976, 0.35220, 0.42081
2.67772, -0.68030, 0.35252, 0.41332
2.67448, -0.58047, 0.36158, 0.41233
2.66451, -0.48017, 0.38082, 0.41516
2.64696, -0.37934, 0.40877, 0.42166
2.61987, -0.28005, 0.45150, 0.43214
2.57939, -0.18801, 0.49016, 0.43690
2.52149, -0.10926, 0.50709, 0.43518
2.44564, -0.04634, 0.53653, 0.42410
2.35770, 0.00470, 0.57649, 0.40848
2.26424, 0.04850, 0.56521, 0.40102
2.17032, 0.08823, 0.52378, 0.40591
2.07603, 0.12210, 0.48538, 0.41920
1.98041, 0.14732, 0.46711, 0.43513
1.88261, 0.16141, 0.46016, 0.44417
1.78290, 0.16528, 0.46142, 0.45678
1.68215, 0.16182, 0.46516, 0.47456
1.58128, 0.15394, 0.47086, 0.49373
1.48101, 0.14391, 0.47895, 0.51719
1.38145, 0.13184, 0.48743, 0.54547
1.28258, 0.11736, 0.50388, 0.57679
1.18439, 0.10012, 0.52654, 0.61906
1.08684, 0.07974, 0.55496, 0.67048
0.98991, 0.05602, 0.57917, 0.69928
0.89355, 0.02938, 0.61519, 0.71901
0.79770, 0.00046, 0.65435, 0.73288
0.70229, -0.03012, 0.69510, 0.74420
0.60726, -0.06176, 0.73613, 0.75613
0.51254, -0.09410, 0.77757, 0.77171
0.41809, -0.12700, 0.80464, 0.78854
0.32383, -0.16031, 0.84589, 0.80373
0.22970, -0.19392, 0.87838, 0.82289
0.13565, -0.22769, 0.91971, 0.83585
