x_m,y_m
0.11886227130889893,-0.23372173309326172
-0.4600907564163208,-0.35629844665527344
-1.0680276155471802,-0.5366678237915039
-1.4073423147201538,-0.9495725631713867
-1.6135715246200562,-1.8254144191741943
-1.6067795753479004,-2.4896504878997803
-1.5432404279708862,-3.318178653717041
-1.489540934562683,-4.2718610763549805
-1.4634026288986206,-4.907487869262695
-1.515378475189209,-5.7455549240112305
-1.5967020988464355,-6.68961763381958
-1.5609021186828613,-7.325124740600586
-1.3423391580581665,-8.038663864135742
-0.9110733270645142,-8.609411239624023
-0.40198814868927,-9.014802932739258
0.2520064115524292,-9.356077194213867
0.7427090406417847,-9.559974670410156
1.2625030279159546,-9.745701789855957
1.6767300367355347,-9.814613342285156
2.081599235534668,-9.787269592285156
2.380918025970459,-9.70233154296875
2.5938382148742676,-9.46250057220459
2.6727070808410645,-9.077371597290039
2.655500888824463,-8.66344165802002
2.483513593673706,-8.27729320526123
2.234421730041504,-7.9681077003479
1.8592556715011597,-7.764451503753662
1.4841090440750122,-7.608569622039795
1.1182175874710083,-7.500704765319824
0.7336300611495972,-7.248378753662109
0.5420268774032593,-6.987893104553223
0.38943302631378174,-6.621488571166992
0.41023504734039307,-6.273985385894775
0.5174515247344971,-6.005258083343506
0.7400254011154175,-5.803668975830078
1.1262742280960083,-5.680378437042236
1.5406924486160278,-5.662819862365723
1.8879104852676392,-5.635461330413818
2.2065792083740234,-5.491916656494141
2.3909127712249756,-5.252199172973633
2.4890236854553223,-4.906072616577148
2.5100653171539307,-4.511310577392578
2.4436120986938477,-4.20255708694458
2.213419198989868,-3.9705405235290527
1.8668420314788818,-3.8626885414123535
1.5295149087905884,-3.8426766395568848
1.115249514579773,-3.8118648529052734
0.7494388818740845,-3.6851274967193604
0.4997621774673462,-3.4620518684387207
0.3472316265106201,-3.085845708847046
0.40727758407592773,-2.585426092147827
0.8907737731933594,-2.2401130199432373
1.3736028671264648,-2.0112106800079346
1.9625487327575684,-1.8315560817718506
2.426530122756958,-1.563244342803955
2.5919318199157715,-1.2464931011199951
2.670698404312134,-0.8422980308532715
2.652996778488159,-0.4091923236846924
2.5389199256896973,-0.1287364959716797
2.2698919773101807,0.045989990234375
1.9520219564437866,0.15265703201293945
1.5858076810836792,0.15434932708740234
1.084164023399353,0.07913494110107422
0.65941321849823,-0.044284820556640625
0.11886227130889893,-0.23372173309326172
