s,left,right
0.0,0.6865687444258057,0.6249778922288702
0.01,0.6871277585474906,0.629132425294306
0.02,0.6875958243324726,0.6339021446870255
0.03,0.6879722578502583,0.6392030485199035
0.04,0.6882563751703542,0.6449511349058156
0.05,0.6884474923622675,0.6510624019576368
0.06,0.6885449254955047,0.6574528477882421
0.07,0.6885479906395726,0.6640384705105068
0.08,0.6884560638732443,0.6707331666936612
0.09,0.6882737156239851,0.6772689251592154
0.1,0.6880146489797555,0.6830579060456797
0.11,0.6876934942096359,0.6874797993130332
0.12,0.6873240728496356,0.6899266563862065
0.13,0.6868936557348941,0.6901963554945705
0.14,0.6863576118736195,0.6885743935011152
0.15,0.6856694199930816,0.6853751601660996
0.16,0.6847897496622863,0.6809207898750802
0.17,0.683799293993411,0.6756626838509054
0.18,0.6828779397370252,0.6701590760891936
0.19,0.6822085509973507,0.6649714072321911
0.2,0.6819455432194382,0.6606063062539799
0.21,0.6819656848580736,0.6570354632197127
0.22,0.6819889689719315,0.6539285110418147
0.23,0.6817336184169315,0.65095167200568
0.24,0.6809681435813583,0.6478193735239003
0.25,0.6797691936857758,0.6445414218217864
0.26,0.6783300767492262,0.6412394510858742
0.27,0.6768443208052752,0.6380353064070284
0.28,0.6754514954669693,0.6350307594481853
0.29,0.6740770612096804,0.6322479297197072
0.3,0.6725933789211677,0.6296891828041223
0.31,0.6708730460501311,0.6273568951895442
0.32,0.6689022951583131,0.6252586820031941
0.33,0.6669629331833382,0.6234157845081182
0.34,0.6653842092446517,0.6218516310771596
0.35,0.6644920419522853,0.6205894691278012
0.36,0.6643305218302564,0.6196372336143173
0.37,0.6644518080310924,0.618976131562145
0.38,0.6643585762964828,0.6185846814325034
0.39,0.6635645429987296,0.618441498495448
0.4,0.6619406343584169,0.6185283301854151
0.41,0.6597839839266255,0.6188306610998153
0.42,0.6574167004376953,0.6193341948288444
0.43,0.655148112710829,0.6200245793428981
0.44,0.6530765738407537,0.620886544419452
0.45,0.6511272935848748,0.621904066294374
0.46,0.6492203610186826,0.6230610989176796
0.47,0.6472825355093841,0.6243415871012333
0.48,0.6453050801629551,0.625729387288215
0.49,0.643315417222421,0.6272083063845924
0.5,0.6413413678785369,0.6287621507497835
0.51,0.6394076753525764,0.6303749815033428
0.52,0.6375203782267914,0.6320324079271497
0.53,0.635678487966153,0.6337206209298238
0.54,0.6338810034412103,0.6354258124621893
0.55,0.6321282156126217,0.6371325916912223
0.56,0.6304255015415955,0.6388193374151814
0.57,0.6287794895757782,0.6404628956321361
0.58,0.6271968071658629,0.6420401315086456
0.59,0.625683671049008,0.6435366874310949
0.6,0.6242452378259591,0.6449608616020326
0.61,0.6228864953471807,0.6463245585290893
0.62,0.6216124152913541,0.6476392291443153
0.63,0.6204266312227945,0.6488787938263328
0.64,0.6193304578680247,0.6499521357134151
0.65,0.6183249788521615,0.6507616561632642
0.66,0.6174112088755735,0.6512136104530794
0.67,0.6165879647572188,0.6513371481514745
0.68,0.6158514591982898,0.651307027778506
0.69,0.6151977539946569,0.6513064457082862
0.7,0.6146228743073572,0.6515086327860392
0.71,0.6141222471109513,0.6519240991904854
0.72,0.6136908118910815,0.6524307467497666
0.73,0.6133234939290978,0.6529026133936005
0.74,0.6130152429318579,0.6532241594389634
0.75,0.6127612426531069,0.6533797132327952
0.76,0.6125568070976674,0.6534091813807793
0.77,0.6123972516742244,0.6533530695184663
0.78,0.6122778258783922,0.6532472395287554
0.79,0.6121933819593715,0.6530995662197222
0.8,0.6121386240712363,0.6529074907006774
0.81,0.6121082561162661,0.6526684363297414
0.82,0.6120973223687907,0.6523808226669441
0.83,0.6121021962181302,0.6520469593299427
0.84,0.6121195754305871,0.6516701053238899
0.85,0.6121461535035786,0.6512535310219902
0.86,0.6121767588723773,0.6508054734625712
0.87,0.6122014426069321,0.6503468918196884
0.88,0.6122095016385058,0.6499007535405908
0.89,0.6121903503834619,0.6494896649201373
0.9,0.612142911028144,0.6491070051099485
0.91,0.6120824632055352,0.6486958700262588
0.92,0.6120259017027617,0.6481943905575822
0.93,0.6119893331940797,0.6475431110094094
0.94,0.6119640925745031,0.6467584336445839
0.95,0.611912369115648,0.6459460125893369
0.96,0.6117946819510148,0.6452166163892044
0.97,0.6115738282976008,0.6446753491824867
0.98,0.6112493987484486,0.6443358291431687
0.99,0.6108507588824184,0.6441376395622547
1.0,0.6104081289434713,0.6440182386237505
1.01,0.6099460280911266,0.6439203257538003
1.02,0.6094348444714012,0.6438363652525586
1.03,0.6088150596389937,0.6437863157834425
1.04,0.6080268403400102,0.6437904254263968
1.05,0.6070377294263306,0.6438660523323939
1.06,0.6059789016257872,0.6440132810305459
1.07,0.6050420654368506,0.644225805867993
1.08,0.604419026915537,0.644497310884439
1.09,0.6042192455012088,0.6448226819909484
1.1,0.6042331947361088,0.645201460784877
1.11,0.604174120236775,0.6456343160262487
1.12,0.6037555538633612,0.6461219148195699
1.13,0.6028104592185266,0.6466642335242083
1.14,0.6014753925388606,0.6472594926419042
1.15,0.5999344358190406,0.6479056378045386
1.16,0.598370676343964,0.6486005808460624
1.17,0.596888451544355,0.6493395578631866
1.18,0.5954575905452933,0.6501132346726333
1.19,0.5940347640803844,0.6509118299995272
1.2,0.5925775108856064,0.6517255636432292
1.21,0.5910702645397118,0.6525446886880311
1.22,0.5895288814888999,0.6533594971070178
1.23,0.5879709986656385,0.6541602830767957
1.24,0.586413711880254,0.6549373870167475
1.25,0.5848654717938265,0.6556818881363894
1.26,0.5833277819114312,0.6563854593296464
1.27,0.581801949312964,0.6570397902763861
1.28,0.5802895666183695,0.6576362078095789
1.29,0.578794912999169,0.658162624856123
1.3,0.5773237411441634,0.6586050818869295
1.31,0.5758818188868033,0.6589496001280111
1.32,0.5744747578133823,0.6591846828749622
1.33,0.5731072432766993,0.6593135471374006
1.34,0.5717836206166016,0.6593448112123642
1.35,0.5705082346539739,0.659287101630384
1.36,0.5692856558749328,0.6591408801762793
1.37,0.5681213219433536,0.6588752334611727
1.38,0.5670208787928083,0.6584517127346445
1.39,0.5659899699650376,0.657832002235597
1.4,0.565033285105829,0.6570308242128663
1.41,0.5641531075448031,0.656196695613038
1.42,0.5633513470514528,0.6554989038720748
1.43,0.5626299747699216,0.6551048682984528
1.44,0.5619957162357294,0.6550372935807869
1.45,0.5614633592950315,0.6550734830247712
1.46,0.561048473165036,0.6549669564892034
1.47,0.5607665283510433,0.6544762867967314
1.48,0.560629980020381,0.6535143989067832
1.49,0.5606477849014914,0.6521732993683649
1.5,0.5608287037213653,0.6505550278488608
1.51,0.5611805898310772,0.6487653881449
1.52,0.5616969561924344,0.6469696732655411
1.53,0.5623598725812102,0.645380646766989
1.54,0.5631510901053439,0.6442123941569037
1.55,0.5640538796749963,0.6436405757130544
1.56,0.5650656820298477,0.6434825952577441
1.57,0.5661916533536465,0.6433607866838544
1.58,0.5674370272362228,0.6428955268227247
1.59,0.5688062084141526,0.6417709793288353
1.6,0.5702987285574483,0.6400463289277668
1.61,0.5719123442533105,0.6379173670277067
1.62,0.5736448095280473,0.6355800824650492
1.63,0.5754949861890021,0.6332333946033835
1.64,0.5774659589942001,0.6310873942123978
1.65,0.5795618188189263,0.6293548336473251
1.66,0.5817866444523502,0.628248032844098
1.67,0.5841399035072788,0.6278143322052079
1.68,0.5866095198298437,0.6276880570821854
1.69,0.5891816401319868,0.6274399501859502
1.7,0.5918427128584739,0.6266438380848961
1.71,0.5946020621423512,0.6251073481034444
1.72,0.5975075250629958,0.6230317287702523
1.73,0.6006106364479938,0.620656021414631
1.74,0.6039593344772153,0.6182185779802363
1.75,0.607493234200535,0.6159369876288403
1.76,0.6110271485992225,0.6140049181479994
1.77,0.6143689774868412,0.6126147122472994
1.78,0.6173575663094049,0.6119374092179455
1.79,0.6203155858753054,0.6118109760142085
1.8,0.62394908297628,0.6118094580504267
1.81,0.6289746185045741,0.6114996626829542
1.82,0.6359863017747777,0.6104969300982643
1.83,0.644446881285132,0.6088650074642256
1.84,0.6532075574430637,0.6069100247760214
1.85,0.6611135432554938,0.6049404850933328
1.86,0.6672208797069205,0.6032218314082339
1.87,0.6718149517257963,0.601768422231758
1.88,0.6756254962304868,0.6005038604411426
1.89,0.6793828555798873,0.5993516251239583
1.9,0.6836283525680277,0.5982523830019916
1.91,0.6881885035460997,0.597211798469005
1.92,0.6927208838256296,0.5962508978036319
1.93,0.6968837160503726,0.595390702030726
1.94,0.7005716853275819,0.5946503130342703
1.95,0.7042669472364003,0.5940440647592876
1.96,0.7085413420513094,0.5935855632654448
1.97,0.7139597365398915,0.5932879609252989
1.98,0.7205694621925443,0.5931307399526338
1.99,0.7275527965377033,0.5930371032977128
2.0,0.7340097369379988,0.5929249008723324
2.01,0.7390618891767237,0.5927147490777677
2.02,0.7424725724400909,0.592409421794771
2.03,0.7447392896219599,0.5921056891999794
2.04,0.7463997512226357,0.5919054691817439
2.05,0.7479788827686515,0.591903124231918
2.06,0.7498038565845133,0.5920761527895405
2.07,0.7520462452763789,0.5923101002252982
2.08,0.7548734193533093,0.5924880286423903
2.09,0.758406900036503,0.5925077725845463
