# x_m, y_m, w_tr_right_m, w_tr_left_m
0.16329, 0.21278, 0.46708, 0.65937
0.26328, 0.22390, 0.48102, 0.65861
0.36321, 0.23277, 0.49513, 0.64230
0.46298, 0.23714, 0.50340, 0.62245
0.56252, 0.23478, 0.50725, 0.61186
0.66182, 0.22508, 0.50567, 0.61476
0.76106, 0.21169, 0.49633, 0.61600
0.86044, 0.19889, 0.48364, 0.61326
0.96011, 0.19038, 0.47466, 0.60886
1.06001, 0.18549, 0.47843, 0.60638
1.15997, 0.18167, 0.49803, 0.60576
1.25983, 0.17636, 0.52333, 0.61397
1.35942, 0.16700, 0.55799, 0.62898
1.45836, 0.15112, 0.57757, 0.66238
1.55551, 0.12673, 0.58565, 0.70438
1.64955, 0.09195, 0.58759, 0.76831
1.73891, 0.04600, 0.58352, 0.84048
1.82184, -0.01091, 0.57779, 0.94113
1.89651, -0.07852, 0.56519, 1.10881
1.96057, -0.15594, 0.55006, 1.10084
2.01128, -0.24184, 0.53328, 1.05865
2.04856, -0.33439, 0.51327, 1.01421
2.07636, -0.43110, 0.47638, 1.01154
2.09895, -0.52944, 0.44803, 1.01270
2.11934, -0.62759, 0.42063, 1.00790
2.13701, -0.72579, 0.40343, 0.99737
2.15110, -0.82450, 0.39454, 0.98268
2.16236, -0.92379, 0.39228, 0.96581
2.17233, -1.02353, 0.40058, 0.95237
2.18216, -1.12356, 0.41628, 0.93766
2.19009, -1.22362, 0.43210, 0.92311
2.19324, -1.32344, 0.44057, 0.91715
2.18873, -1.42275, 0.44631, 0.92589
2.17563, -1.52140, 0.45321, 0.93068
2.15569, -1.61945, 0.47267, 0.93409
2.13091, -1.71697, 0.50852, 0.95517
2.10325, -1.81402, 0.58162, 0.98072
2.07445, -1.91064, 0.70879, 1.02251
2.04473, -2.00678, 0.82309, 1.05516
2.01380, -2.10231, 0.95790, 1.09786
1.98137, -2.19711, 1.11677, 1.13975
1.94715, -2.29107, 1.23872, 1.18135
1.91085, -2.38407, 1.37907, 1.22318
1.87219, -2.47601, 1.48511, 1.26608
1.83086, -2.56675, 1.55530, 1.31940
1.78661, -2.65620, 1.58021, 1.37308
1.73990, -2.74457, 1.61790, 1.42816
1.69209, -2.83249, 1.66490, 1.48804
1.64456, -2.92059, 1.72752, 1.52641
1.59872, -3.00950, 1.78602, 1.55797
1.55595, -3.09986, 2.08436, 1.57530
1.51664, -3.19183, 2.00145, 1.59982
1.47876, -3.28445, 1.96268, 1.63449
1.43991, -3.37659, 1.93816, 1.67374
1.39775, -3.46715, 1.92009, 1.70793
1.35138, -3.55566, 1.89210, 1.71185
1.30159, -3.64246, 1.87038, 1.67207
1.24926, -3.72789, 1.83124, 1.62487
1.19527, -3.81232, 1.79883, 1.57055
1.14046, -3.89609, 1.75198, 1.52052
1.08519, -3.97941, 1.71451, 1.46871
1.02946, -4.06239, 1.67789, 1.40953
0.97327, -4.14514, 1.62802, 1.34780
0.91622, -4.22739, 1.59388, 1.27494
0.85681, -4.30787, 1.57885, 1.16775
0.79336, -4.38512, 1.56178, 1.10265
0.72599, -4.45916, 1.51603, 1.05797
0.65816, -4.53278, 1.41551, 1.01877
0.59366, -4.60902, 1.27706, 1.00103
0.53565, -4.69034, 1.13558, 0.98368
0.48441, -4.77649, 1.03157, 0.96260
0.43943, -4.86646, 0.94690, 0.93409
0.40020, -4.95925, 0.87385, 0.89071
0.36619, -5.05387, 0.82701, 0.84777
0.33665, -5.14965, 0.78555, 0.80566
0.31058, -5.24630, 0.75136, 0.74906
0.28696, -5.34353, 0.72311, 0.68590
0.26477, -5.44106, 0.69786, 0.63673
0.24301, -5.53861, 0.67771, 0.61129
0.22064, -5.63589, 0.65306, 0.59923
0.19721, -5.73280, 0.63210, 0.60484
0.17426, -5.82987, 0.60846, 0.61207
0.15382, -5.92777, 0.58722, 0.62226
0.13788, -6.02718, 0.57106, 0.62886
0.12856, -6.12837, 0.56382, 0.64559
0.12833, -6.22962, 0.56805, 0.65571
0.13975, -6.32862, 0.58750, 0.66038
0.16525, -6.42317, 0.62133, 0.66131
0.20450, -6.51270, 0.67011, 0.66044
0.25502, -6.59797, 0.74977, 0.65176
0.31428, -6.67974, 0.80508, 0.63574
0.37973, -6.75880, 0.79157, 0.61396
0.44884, -6.83592, 0.73160, 0.57877
0.51907, -6.91188, 0.66006, 0.55129
0.58797, -6.98743, 0.61991, 0.54041
0.65516, -7.06249, 0.60216, 0.54516
0.72228, -7.13617, 0.59083, 0.56535
0.79109, -7.20756, 0.57487, 0.58714
0.86326, -7.27579, 0.54013, 0.60698
0.93901, -7.34093, 0.50737, 0.62743
1.01723, -7.40392, 0.48408, 0.64786
1.09653, -7.46599, 0.47762, 0.67423
1.17437, -7.52946, 0.48965, 0.71452
1.24789, -7.59697, 0.51150, 0.81035
1.31426, -7.67118, 0.53626, 0.96500
1.37198, -7.75296, 0.55923, 0.99485
1.42181, -7.84035, 0.58122, 1.06598
1.46469, -7.93114, 0.59365, 1.11999
1.50159, -8.02375, 0.60501, 1.13309
1.53351, -8.11814, 0.62672, 1.12305
1.56148, -8.21450, 0.65301, 1.11988
1.58640, -8.31301, 0.71166, 1.12773
1.60553, -8.41296, 0.74164, 1.15945
1.61163, -8.51258, 0.75239, 1.19744
1.59754, -8.61008, 0.73704, 1.23827
1.56342, -8.70428, 0.73909, 1.30107
1.51678, -8.79462, 0.74133, 1.28700
1.46460, -8.88064, 0.74767, 1.26946
1.40787, -8.96255, 0.75795, 1.19300
1.34500, -9.04079, 0.77235, 1.03342
1.27441, -9.11419, 0.78170, 0.87205
1.19465, -9.17494, 0.77922, 0.66754
1.10454, -9.21441, 0.78822, 0.58824
1.00680, -9.23662, 0.77389, 0.55349
0.90717, -9.25549, 0.73554, 0.53498
0.80947, -9.27951, 0.73097, 0.50979
0.71265, -9.30355, 0.73922, 0.47100
0.61499, -9.32056, 0.74459, 0.44632
0.51573, -9.32738, 0.74588, 0.44207
0.41542, -9.32615, 0.74646, 0.45336
0.31471, -9.31939, 0.74675, 0.46980
0.21424, -9.30961, 0.74956, 0.48790
0.11440, -9.29846, 0.75638, 0.49200
0.01515, -9.28605, 0.76527, 0.48220
-0.08362, -9.27231, 0.77351, 0.48019
-0.18200, -9.25721, 0.77894, 0.48668
-0.28012, -9.24087, 0.78163, 0.50486
-0.37818, -9.22379, 0.78241, 0.52275
-0.47638, -9.20655, 0.78014, 0.53975
-0.57494, -9.18973, 0.77079, 0.55306
-0.67406, -9.17390, 0.75201, 0.56329
-0.77395, -9.15964, 0.71537, 0.57100
-0.87464, -9.14706, 0.67962, 0.57763
-0.97505, -9.13351, 0.64499, 0.59547
-1.07373, -9.11536, 0.61720, 0.62519
-1.16921, -9.08899, 0.59389, 0.67445
-1.26011, -9.05096, 0.57630, 0.74338
-1.34662, -9.00180, 0.54670, 0.82575
-1.43042, -8.94575, 0.51026, 0.90374
-1.51322, -8.88719, 0.47699, 0.95631
-1.59560, -8.82848, 0.45620, 1.02881
-1.67594, -8.76805, 0.44800, 1.13166
-1.75235, -8.70393, 0.44663, 1.22372
-1.82294, -8.63413, 0.44817, 1.27776
-1.88606, -8.55701, 0.45047, 1.21429
-1.94137, -8.47325, 0.45398, 1.09611
-1.98905, -8.38437, 0.46284, 1.01643
-2.02928, -8.29193, 0.47436, 0.94232
-2.06215, -8.19717, 0.49692, 0.87179
-2.08731, -8.10038, 0.51849, 0.81144
-2.10439, -8.00165, 0.54881, 0.77338
-2.11325, -7.90146, 0.57961, 0.75921
-2.11406, -7.80062, 0.59953, 0.76361
-2.10697, -7.69999, 0.62073, 0.78322
-2.09216, -7.60042, 0.63287, 0.81514
-2.06980, -7.50274, 0.63872, 0.85427
-2.04103, -7.40709, 0.63818, 0.88914
-2.00821, -7.31270, 0.63880, 0.92659
-1.97381, -7.21871, 0.65266, 0.96186
-1.94029, -7.12427, 0.68918, 0.98268
-1.91003, -7.02862, 0.77854, 0.99977
-1.88449, -6.93161, 0.86624, 1.01638
-1.86465, -6.83350, 0.89788, 1.02294
-1.85144, -6.73456, 0.88926, 1.02760
-1.84484, -6.63501, 0.88260, 1.02994
-1.84288, -6.53504, 0.88324, 1.03183
-1.84337, -6.43484, 0.89064, 1.03245
-1.84410, -6.33458, 0.89981, 1.03361
-1.84291, -6.23444, 0.90857, 1.03968
-1.83884, -6.13451, 0.91297, 1.05370
-1.83259, -6.03472, 0.91623, 1.06999
-1.82494, -5.93502, 0.91639, 1.09057
-1.81671, -5.83534, 0.91418, 1.09977
-1.80870, -5.73563, 0.90983, 1.09864
-1.80167, -5.63582, 0.90462, 1.09054
-1.79600, -5.53590, 0.89963, 1.08309
-1.79173, -5.43589, 0.89534, 1.08065
-1.78889, -5.33582, 0.89241, 1.08071
-1.78751, -5.23570, 0.89167, 1.08328
-1.78764, -5.13556, 0.89375, 1.08724
-1.78931, -5.03542, 0.89836, 1.09166
-1.79255, -4.93531, 0.90754, 1.09528
-1.79740, -4.83523, 0.91976, 1.09619
-1.80389, -4.73523, 0.93398, 1.09195
-1.81205, -4.63532, 0.95003, 1.08298
-1.82193, -4.53551, 0.96463, 1.07240
-1.83356, -4.43585, 0.98127, 1.05606
-1.84697, -4.33634, 0.99564, 1.04451
-1.86190, -4.23699, 1.01119, 1.03020
-1.87656, -4.13776, 1.02362, 1.02267
-1.88869, -4.03855, 1.02955, 1.02154
-1.89605, -3.93930, 1.03355, 1.02622
-1.89694, -3.83995, 1.03421, 1.02716
-1.89214, -3.74048, 1.03203, 1.02886
-1.88309, -3.64092, 1.02662, 1.03625
-1.87121, -3.54128, 1.01924, 1.05766
-1.85794, -3.44157, 1.01124, 1.07943
-1.84471, -3.34181, 1.00233, 1.09768
-1.83293, -3.24202, 0.99544, 1.10999
-1.82336, -3.14220, 0.98897, 1.11319
-1.81600, -3.04236, 0.98089, 1.11359
-1.81075, -2.94250, 0.97171, 1.11195
-1.80756, -2.84264, 0.95603, 1.10915
-1.80636, -2.74278, 0.93853, 1.10782
-1.80701, -2.64292, 0.92094, 1.10735
-1.80909, -2.54305, 0.90620, 1.10737
-1.81203, -2.44313, 0.89828, 1.10793
-1.81523, -2.34314, 0.89505, 1.10808
-1.81814, -2.24306, 0.89540, 1.10694
-1.82017, -2.14286, 0.89701, 1.10272
-1.82091, -2.04257, 0.89770, 1.09857
-1.82012, -1.94228, 0.89546, 1.09307
-1.81756, -1.84208, 0.88907, 1.08991
-1.81299, -1.74209, 0.87920, 1.08853
-1.80619, -1.64237, 0.86959, 1.09197
-1.79691, -1.54305, 0.85535, 1.10101
-1.78495, -1.44419, 0.84345, 1.11130
-1.77079, -1.34559, 0.82787, 1.12890
-1.75553, -1.24678, 0.81382, 1.14444
-1.74027, -1.14730, 0.80044, 1.16046
-1.72555, -1.04695, 0.79284, 1.17646
-1.70940, -0.94674, 0.78663, 1.19956
-1.68920, -0.84798, 0.78269, 1.23358
-1.66231, -0.75202, 0.77650, 1.28920
-1.62610, -0.66017, 0.77128, 1.37813
-1.57850, -0.57358, 0.75946, 1.50987
-1.52037, -0.49246, 0.74474, 1.60699
-1.45355, -0.41669, 0.71693, 1.60869
-1.37985, -0.34616, 0.68886, 1.49874
-1.30110, -0.28077, 0.66339, 1.36760
-1.21909, -0.22042, 0.64097, 1.26389
-1.13474, -0.16531, 0.62954, 1.17618
-1.04782, -0.11603, 0.61703, 1.08878
-0.95800, -0.07321, 0.59932, 1.01707
-0.86514, -0.03717, 0.58327, 0.94938
-0.76987, -0.00665, 0.56692, 0.90052
-0.67316, 0.02019, 0.55895, 0.85732
-0.57591, 0.04518, 0.55421, 0.81410
-0.47858, 0.06920, 0.54062, 0.78108
-0.38117, 0.09241, 0.52966, 0.74256
-0.28371, 0.11493, 0.52612, 0.71433
-0.18619, 0.13689, 0.52486, 0.69132
-0.08864, 0.15841, 0.51562, 0.67338
0.00893, 0.17961, 0.48533, 0.66134
0.10653, 0.20061, 0.45889, 0.65692
