s,left,right
0.0,0.8559306788337584,0.8997895480276036
0.01,0.8579021260130928,0.9025460556926416
0.02,0.8598526339873298,0.9052176932048512
0.03,0.861779056468425,0.9078130322498372
0.04,0.8636782471683333,0.9103406445132045
0.05,0.8655470597990103,0.9128091016805577
0.06,0.867382348072411,0.9152269754375016
0.07,0.8691824862642527,0.9175988980778775
0.08,0.8709560492070018,0.9199030748621787
0.09,0.8727158070991544,0.9221068419306439
0.1,0.8744701405849467,0.9241889072963737
0.11,0.876188556288846,0.9262286886169934
0.12,0.877820306687147,0.9283580753056822
0.13,0.8793379842938174,0.9306796283979646
0.14,0.8809933205447628,0.9329423859200607
0.15,0.8832209200645951,0.9346637812206919
0.16,0.8864197976628234,0.9353974920015883
0.17,0.8903503787813999,0.9353605069732986
0.18,0.8942497241906792,0.9353134404780142
0.19,0.8973646342947744,0.9360078899385655
0.2,0.8995450290923247,0.937595333360584
0.21,0.9012576655354863,0.9396134802095782
0.22,0.9029906691757624,0.9415789813133657
0.23,0.9049872465973416,0.9432598049809232
0.24,0.9071779280560677,0.944744764526084
0.25,0.9094726772374797,0.9461432898275762
0.26,0.911767595181561,0.9475472232391259
0.27,0.91393662482091,0.9490202951450634
0.28,0.9158533599901004,0.9506228141238019
0.29,0.9176175299146929,0.9522906352147537
0.3,0.9197839712339919,0.9537091452399552
0.31,0.9229611699762849,0.954534224686098
0.32,0.927357702271246,0.9546502500681318
0.33,0.9321608110350492,0.9545251558064826
0.34,0.9363971199693897,0.9547186494110133
0.35,0.9394247768173247,0.9556021441433317
0.36,0.9416858470920688,0.956931425267558
0.37,0.943843564457233,0.9583366621484471
0.38,0.9463983172447412,0.9595335906780567
0.39,0.9491645276476656,0.9605983853298949
0.4,0.9517760259492444,0.96170211198408
0.41,0.9540084858755373,0.9629584199173883
0.42,0.9564095115062105,0.9641684892509018
0.43,0.9597880300332015,0.9650277193032326
0.44,0.9647762982435744,0.9652985145269927
0.45,0.9707534211475819,0.96521859523708
0.46,0.9765573260957361,0.9652309484453325
0.47,0.9811318292174749,0.9657323127538093
0.48,0.9844318143967286,0.9666789814138753
0.49,0.9869643696836197,0.9677866943049239
0.5,0.9892536713962037,0.9687877797016738
0.51,0.9919692803056481,0.9696552709080598
0.52,0.9958804747050238,0.9705272980352003
0.53,1.001692891154886,0.9715332751512429
0.54,1.008951265930486,0.972591225830795
0.55,1.016204955953295,0.9734379231694038
0.56,1.0220156759264238,0.9738159520293265
0.57,1.026107116870924,0.9737722749154808
0.58,1.0294460614420238,0.9736794799891568
0.59,1.033044307659397,0.9739198464529443
0.6,1.0372577743395388,0.9746168107009362
0.61,1.0415661747389615,0.9755480144948213
0.62,1.0453970000966628,0.9764688072055552
0.63,1.048836563028513,0.9772690455238852
0.64,1.0530741673699402,0.9780637767580839
0.65,1.0593985271524828,0.9789887856371828
0.66,1.068143427326884,0.9800585621074478
0.67,1.0776268007673058,0.9810315432368375
0.68,1.0859120470048955,0.981633945247787
0.69,1.0918215144905032,0.9817531818159931
0.7,1.0962142717011154,0.9817092571020937
0.71,1.1002874646587264,0.9818939757067282
0.72,1.1049493135803867,0.9825853054869321
0.73,1.1101137702166322,0.983669472604953
0.74,1.115481074156465,0.9849485006488097
0.75,1.120792807416954,0.9862448911211821
0.76,1.1259739581769324,0.9874719910774834
0.77,1.1310003564531292,0.9885683307775578
