x,y
0.10346114635467529,0.6422514915466309
0.06543330056415958,0.6455997835936642
0.02746645937246923,0.6480363389070998
-0.010443361827717901,0.649618547393808
-0.04830014764372395,0.6504037989606581
-0.08610788268287103,0.6504494835145203
-0.12387055155248136,0.649812990962264
-0.16159213885987703,0.6485517112107593
-0.1992766292123801,0.6467230341668759
-0.2369280072173128,0.6443843497374836
-0.27455025748199724,0.641593047829452
-0.3121473646137557,0.6384065183496512
-0.34972331321991,0.6348821512049507
-0.3872820879077825,0.6310773363022208
-0.4248276732846954,0.6270494635483307
-0.4623640539579706,0.6228559228501503
-0.4998952145349305,0.6185541041145498
-0.5374251396228971,0.6142013972483986
-0.5749578138291924,0.6098551921585667
-0.6124972217611387,0.6055728787519237
-0.6500473480260582,0.6014118469353396
-0.6876121772312732,0.597429486615684
-0.7251956939841053,0.5936831876998268
-0.7628018828918769,0.5902303400946378
-0.8004346151087245,0.5871267539289108
-0.838094354227745,0.5843807907721184
-0.8757776432600773,0.5819462200782838
-0.9134808085264645,0.5797737939975625
-0.9512001763476493,0.5778142646801104
-0.9889320730443745,0.5760183842760831
-1.026672824937383,0.5743369049356362
-1.0644187583474183,0.5727205788089254
-1.1021661995952226,0.5711201580461062
-1.139911475001539,0.5694863947973344
-1.1776509108871105,0.5677700412127656
-1.2153808335726797,0.5659218494425556
-1.2530975693789899,0.5638925716368599
-1.2907974451146733,0.5616329779159667
-1.3284769888767043,0.5591012523267735
-1.3661332394651349,0.5562743893207082
-1.4037633154627265,0.5531323219354741
-1.441364335452241,0.5496549832087744
-1.4789334180164406,0.5458223061783123
-1.5164676817380864,0.5416142238817914
-1.553964245199941,0.5370106693569147
-1.591420226984766,0.5319915756413856
-1.6288327456753233,0.5265368757729073
-1.6661989198543747,0.5206265027891833
-1.7035158681046823,0.5142403897279167
-1.7407807090090077,0.5073584696268109
-1.7779871256732178,0.49995749184726074
-1.8151042949320488,0.49199149564746303
-1.8520907464766383,0.48340465351606116
-1.8889049665823048,0.47414109770800833
-1.9255054415243682,0.4641449604782575
-1.961850657578147,0.4533603740817621
-1.9978991010189606,0.4417314707734751
-2.0336092581221275,0.42920238280834966
-2.0689396151629666,0.41571724244133923
-2.1038486584167986,0.4012201819273965
-2.138294874158941,0.3856553335214749
-2.1722368146392403,0.3689671827246455
-2.205639182891841,0.35113314806213736
-2.2384777507357727,0.3321899134377292
-2.2707294473181667,0.3121803594144462
-2.3023712017861544,0.2911473665553139
-2.3333799432868694,0.26913381542335735
-2.3637326009674418,0.24618258658160208
-2.393406103975005,0.22233656059307272
-2.422377381456691,0.19763861802079477
-2.4506233625596314,0.1721316394277934
-2.4781209764309575,0.1458585053770942
-2.5048471522178026,0.11886209643172176
-2.530778819067298,0.09118529315470152
-2.555896686125508,0.06287040016023347
-2.58022020517014,0.033953818946249686
-2.603791556994749,0.004468487848334035
-2.6266532112751446,-0.025552698814185062
-2.648847637687135,-0.05607684672197817
-2.67041730590653,-0.08707106155571617
-2.6914046856091374,-0.11850244899606963
-2.7118522464707673,-0.15033811472371011
-2.7318024581672264,-0.18254516441930824
-2.751297790374326,-0.2150907037635348
-2.7703807127678735,-0.24794183843706077
-2.789093695023678,-0.28106567412055666
-2.80747760171913,-0.3144297865959042
-2.8255122145271434,-0.3480196416054831
-2.84309871891078,-0.3818437241488893
-2.8601331226471833,-0.4159120356663231
-2.876511433513495,-0.4502345775979848
-2.892129659286858,-0.4848213513840754
-2.9068838077444155,-0.519682358464795
-2.920669886663308,-0.5548276002803442
-2.9333839038206793,-0.5902670782709226
-2.9449218669936714,-0.6260107938767319
-2.9551797839594265,-0.6620687485379719
-2.9640805363142886,-0.6984463440779766
-2.9716944288154448,-0.73512374995351
-2.978142056602305,-0.7720725281179304
-2.983544057693272,-0.8092642331855977
-2.988021070106748,-0.846670419770871
-2.9916937318611345,-0.8842626424881095
-2.9946826809748344,-0.9220124559516716
-2.9971085554662493,-0.959891414775918
-2.999091993353781,-0.9978710735752072
-3.0007536326558326,-1.0359229869638982
-3.0022141113908054,-1.074018709556351
-3.003594067577102,-1.1121297959669245
-3.005014139233124,-1.1502278008099778
-3.006594954038357,-1.188284280946783
-3.0084251291444515,-1.2262777499496724
-3.0104904959588574,-1.264209059377007
-3.012756296676035,-1.3020835353527185
-3.0151877734904433,-1.339906504000738
-3.017750168596542,-1.3776832914449963
-3.0204087241887922,-1.4154192238094268
-3.0231286824616537,-1.4531196272179598
-3.0258752856095854,-1.4907898277945266
-3.028613775827048,-1.528435151663059
-3.0313093953085,-1.5660609249474882
-3.0339273862484033,-1.6036724737717456
-3.0364329908412167,-1.641275124259763
-3.0387914512814,-1.6788742025354713
-3.040968009763413,-1.7164750347228015
-3.0429279084817162,-1.7540829469456867
-3.0446363896307695,-1.7917032653280573
-3.0460586954050317,-1.829341315993845
-3.047160067998964,-1.8670024250669812
-3.0479058063680147,-1.904691905929511
-3.0482751691596226,-1.9424119382477931
-3.048279564747021,-1.9801574846163346
-3.0479349115209833,-2.0179224952066823
-3.0472571278722844,-2.0557009201903798
-3.0462621321916985,-2.093486709738976
-3.0449658428700004,-2.1312738140240146
-3.043384178297964,-2.169056183217042
-3.041533056866364,-2.2068277674896026
