x,y
-0.00500025600194931,-0.5811419486999512
0.031837196722388876,-0.6049482869837871
0.06792493361804455,-0.6190051360312537
0.10339801960209348,-0.624744556021401
0.13839151959161142,-0.6235986071332787
0.1730404985036741,-0.6169993495459369
0.20748002125535725,-0.6063788434384255
0.2418451527637367,-0.5931691489897943
0.2762709579458881,-0.5788023263790932
0.31089250171888727,-0.5647104357853724
0.3458448489998099,-0.5523255373876814
0.3812625968816504,-0.5430753321843144
0.4172091627693076,-0.5377242694536786
0.45360109518278774,-0.5356682754712172
0.49033679847990275,-0.536134209365503
0.5273146770184645,-0.5383489302651095
0.5644331351562847,-0.5415392972986094
0.6015905772511753,-0.5449321695945759
0.6386854196055776,-0.5477544946109804
0.6756434769554935,-0.5494358286162256
0.7124763953295933,-0.5500404421249381
0.7492125833454438,-0.5497565634024174
0.7858804496206128,-0.5487724207139638
0.8225084027726667,-0.5472762423248774
0.8591248514191728,-0.5454562565004579
0.8957577685481303,-0.5434994353079412
0.9324208746087318,-0.541551651649212
0.9691107932097915,-0.5397094773241362
1.005823137559578,-0.5380665705029691
1.0425535208663608,-0.5367165893559663
1.079297556338407,-0.5357531920533832
1.116050857183987,-0.5352700367654752
1.1528090359288024,-0.5353606729486273
1.1895670071889435,-0.5360074924277136
1.2263176717712105,-0.5368721430992064
1.263053569416126,-0.5375587650223638
1.2997672398642126,-0.537671498256444
1.336451645109892,-0.5368272234250737
1.3731116839723536,-0.5350029880660981
1.4097655770619506,-0.532577794886225
1.446432245282966,-0.5299517763908334
1.4831306095396837,-0.5275250650853016
1.5198726213805611,-0.5256767430027847
1.5566386148647162,-0.5246903936687036
1.5933999625274393,-0.5248225329263078
1.630128036320161,-0.5263296748553387
1.6667941305722636,-0.5294682678979044
1.703327338297848,-0.5344590748305289
1.7395448585667472,-0.5414282402916658
1.775245554616122,-0.5504864040382611
1.8102282896831337,-0.5617442058272599
1.8443206026216947,-0.5752729524286956
1.8775359876865019,-0.5908888843865312
1.9099621054337934,-0.6083065118375625
1.9416868091018036,-0.627240080625808
1.972757074662413,-0.6474442005919584
2.002865228731108,-0.6690236778280197
2.031521470911636,-0.6922631585853701
2.058234509881967,-0.7174487613205615
2.0825147912717923,-0.7448646764826684
2.104071073235572,-0.7745749686381297
2.1229910474058213,-0.8062230881414767
2.139405086896947,-0.8394051091218351
2.153442276693863,-0.8737191376782742
2.165172350075543,-0.9088569047223909
2.1745820988184676,-0.9446409778873011
