x,y
0.22100794315338135,-1.1108551025390625
0.1966075182663817,-1.1224640218932
0.17211196077616428,-1.134129088873958
0.14754739180619847,-1.1458728885694283
0.12293993247995379,-1.1577180060677015
0.09831570392089967,-1.1696870264568695
0.07370082725250557,-1.181802534825024
0.049121423598240954,-1.1940871162602558
0.02460361408157532,-1.206563355850657
0.000173519825978062,-1.2192538386843184
-0.024142738045081293,-1.2321811498493314
-0.04831903840813337,-1.2453678744337877
-0.0723292601397086,-1.2588365975257785
-0.09614728211633765,-1.2726099042133954
-0.1197469832145509,-1.2867103795847297
-0.1431022423108791,-1.3011606087278729
-0.16618693828185252,-1.315983176730916
-0.1889749500040019,-1.3312006686819509
-0.21144015635385777,-1.3468356696690686
-0.23355643620795058,-1.362910764780361
-0.2552976684428109,-1.379448539103919
-0.27663773193496927,-1.3964715777278347
-0.29755050556095636,-1.4140024657401984
-0.3180164314032072,-1.4320564154362827
-0.3380585233023608,-1.4506008160264552
-0.3577167782879567,-1.4695839786158111
-0.3770312375699649,-1.4889541646792537
-0.3960419423583557,-1.5086596356916868
-0.41478893386309956,-1.5286486531280132
-0.43331225329416667,-1.5488694784631367
-0.45165194186152724,-1.5692703731719608
-0.4698480407751515,-1.5897995987293885
-0.48794059124500994,-1.6104054166103239
-0.5059670297853429,-1.631039288242933
-0.5239304347406561,-1.651694885182305
-0.5418096137332672,-1.6723956963536626
-0.5595828638921874,-1.693165837839828
-0.5772284823464274,-1.7140294257236237
-0.5947247662249986,-1.7350105760878713
-0.6120500126569118,-1.756133405015394
-0.6291825187711778,-1.7774220285890128
-0.6461005816968084,-1.7989005628915509
-0.6627824985628141,-1.8205931240058302
-0.6792065664982062,-1.842523828014673
-0.6953510826319957,-1.8647167910009015
-0.7111943440931934,-1.887196129047338
-0.7267138798460707,-1.9099847682082864
-0.7418754836072243,-1.9330874544802141
-0.7566357902894989,-1.9564947451874326
-0.7709511918754679,-1.980196821310564
-0.7847780803477049,-2.004183863830232
-0.7980728476887826,-2.02844605372706
-0.810791885881275,-2.0529735719816706
-0.8228915869077552,-2.0777565995746885
-0.8343283427507965,-2.102785317486735
-0.8450585453929724,-2.128049906698435
-0.8550385868168562,-2.153540548190411
-0.8642248590050213,-2.179247422943286
-0.8725737539400412,-2.2051607119376837
-0.880041663604489,-2.2312705961542267
-0.8865883070467391,-2.257567202485554
-0.8922270661399428,-2.284039785429743
-0.8970147114819202,-2.3106768941159816
-0.9010092567798322,-2.3374670574642735
-0.9042687157408399,-2.364398804394622
-0.9068511020721044,-2.391460663827031
-0.9088144294807868,-2.418641164681506
-0.9102167116740482,-2.4459288358780484
-0.9111159623590497,-2.4733122063366646
-0.9115701952429524,-2.500779804977357
-0.9116374240329173,-2.5283201607201296
-0.9113756624361055,-2.555921802484987
-0.910842924159678,-2.583573259191933
-0.9100972229107963,-2.611263059760971
-0.9091965723966212,-2.6389797331121057
-0.9081989863243137,-2.6667118081653403
-0.907162478401035,-2.694447813840678
-0.9061450623339462,-2.7221762790581256
-0.9052047518302083,-2.749885732737684
-0.9043994839865278,-2.7775647193248214
-0.9037690722127868,-2.8052054561138693
-0.9033119276257754,-2.832808550765135
-0.9030207065115148,-2.8603757771819645
-0.9028880651560268,-2.887908909267707
-0.9029066598453328,-2.9154097209257106
-0.9030691468654543,-2.942879986059323
-0.9033681825024125,-2.9703214785718925
-0.9037964230422292,-2.997735972366767
-0.9043465247709256,-3.0251252413472955
-0.9050111439745234,-3.052491059416824
-0.905782936939044,-3.079835200478703
