# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
6.9956802,-15.1525453,2.6219996,0.0166056,0.0211633,10.0000000,0.0000000
7.0956185,-15.1543106,2.7219766,0.0186965,0.0206569,10.0000000,0.0000000
7.1955568,-15.1562829,2.8219762,0.0207372,0.0201501,10.0000000,0.0000000
7.2954950,-15.1584554,2.9219094,0.0227242,0.0195483,10.0000000,0.0000000
7.3954333,-15.1608202,3.0217255,0.0246386,0.0187992,10.0000000,0.0000000
7.4953716,-15.1633732,3.1215645,0.0264788,0.0180518,10.0000000,0.0000000
7.5953099,-15.1661068,3.2214255,0.0282448,0.0173060,10.0000000,0.0000000
7.6952482,-15.1690139,3.3213074,0.0299369,0.0165618,10.0000000,0.0000000
7.7951865,-15.1720871,3.4212095,0.0315551,0.0158192,10.0000000,0.0000000
7.8951248,-15.1753190,3.5211308,0.0330996,0.0150780,10.0000000,0.0000000
7.9950631,-15.1787024,3.6210704,0.0345703,0.0143383,10.0000000,0.0000000
8.0950013,-15.1822298,3.7210273,0.0359675,0.0136000,10.0000000,0.0000000
8.1949396,-15.1858925,3.8209585,0.0372907,0.0128683,10.0000000,0.0000000
8.2948779,-15.1896799,3.9207861,0.0385405,0.0121532,10.0000000,0.0000000
8.3948162,-15.1935892,4.0206260,0.0397192,0.0114401,10.0000000,0.0000000
8.4947545,-15.1976132,4.1204753,0.0408268,0.0107288,10.0000000,0.0000000
8.5946928,-15.2017447,4.2203315,0.0418636,0.0100191,10.0000000,0.0000000
8.6946311,-15.2059766,4.3201916,0.0428296,0.0093110,10.0000000,0.0000000
8.7945694,-15.2103016,4.4200530,0.0437249,0.0086041,10.0000000,0.0000000
8.8945077,-15.2147126,4.5199129,0.0445497,0.0078983,10.0000000,0.0000000
8.9944459,-15.2192024,4.6197686,0.0453040,0.0071935,10.0000000,0.0000000
9.0943842,-15.2237641,4.7196213,0.0459876,0.0064474,10.0000000,0.0000000
9.1943225,-15.2283906,4.8194929,0.0465795,0.0053945,10.0000000,0.0000000
9.2942608,-15.2330707,4.9193544,0.0470662,0.0043415,10.0000000,0.0000000
9.3941991,-15.2377938,5.0192052,0.0474475,0.0032883,10.0000000,0.0000000
9.4941374,-15.2425492,5.1190446,0.0477236,0.0022346,10.0000000,0.0000000
9.5940757,-15.2473263,5.2188720,0.0478942,0.0011805,10.0000000,0.0000000
9.6940140,-15.2521147,5.3186867,0.0479595,0.0001258,10.0000000,0.0000000
9.7939522,-15.2569036,5.4184881,0.0479193,-0.0009296,10.0000000,0.0000000
9.8938905,-15.2616826,5.5182756,0.0477737,-0.0019858,10.0000000,0.0000000
9.9938288,-15.2664411,5.6180485,0.0475226,-0.0030429,10.0000000,0.0000000
10.0937671,-15.2711748,5.7179620,0.0471341,-0.0047375,10.0000000,0.0000000
10.1937054,-15.2758604,5.8178624,0.0465749,-0.0064460,10.0000000,0.0000000
10.2936437,-15.2804808,5.9177458,0.0458448,-0.0081567,10.0000000,0.0000000
10.3935820,-15.2850186,6.0176113,0.0449438,-0.0098697,10.0000000,0.0000000
10.4935203,-15.2894569,6.1174580,0.0438717,-0.0115853,10.0000000,0.0000000
10.5934586,-15.2937786,6.2172852,0.0426282,-0.0133038,10.0000000,0.0000000
10.6933968,-15.2979664,6.3170919,0.0412133,-0.0150253,10.0000000,0.0000000
