# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
6.9790943,-1.6451146,-6.3607755,3.0746394,0.0987828,4.0000000,0.0000000
7.0787956,-1.6512690,-6.4601663,3.0850544,0.1103824,4.0000000,0.0000000
7.1784970,-1.6563347,-6.5597113,3.0966326,0.1219266,4.0000000,0.0000000
7.2781983,-1.6601936,-6.6594085,3.1093705,0.1333961,4.0000000,0.0000000
7.3778997,-1.6627273,-6.7592555,3.1232630,0.1447641,4.0000000,0.0000000
7.4776010,-1.6638176,-6.8592503,3.1383026,0.1559965,4.0000000,0.0000000
7.5773024,-1.6633548,-6.9586262,-3.1287808,0.1683737,4.0000000,0.0000000
7.6770037,-1.6612324,-7.0578800,-3.1114328,0.1810940,4.0000000,0.0000000
7.7767051,-1.6573188,-7.1572280,-3.0927988,0.1937118,4.0000000,0.0000000
7.8764064,-1.6514817,-7.2566427,-3.0728854,0.2061721,4.0000000,0.0000000
7.9761078,-1.6435888,-7.3560968,-3.0517031,0.2184065,4.0000000,0.0000000
8.0758091,-1.6335076,-7.4555631,-3.0292679,0.2303333,4.0000000,0.0000000
8.1755105,-1.6211059,-7.5550141,-3.0056015,0.2418572,4.0000000,0.0000000
8.2752118,-1.6064009,-7.6534903,-2.9808839,0.2563386,4.0000000,0.0000000
8.3749132,-1.5893060,-7.7509243,-2.9546401,0.2742573,4.0000000,0.0000000
8.4746145,-1.5695169,-7.8481213,-2.9265417,0.2922737,4.0000000,0.0000000
8.5743159,-1.5468547,-7.9449593,-2.8965772,0.3102551,4.0000000,0.0000000
8.6740172,-1.5211407,-8.0413166,-2.8647452,0.3280232,4.0000000,0.0000000
8.7737186,-1.4921961,-8.1370714,-2.8310583,0.3453525,4.0000000,0.0000000
8.8734199,-1.4598420,-8.2321016,-2.7955456,0.3619720,4.0000000,0.0000000
8.9731212,-1.4240059,-8.3260221,-2.7583685,0.3766591,4.0000000,0.0000000
9.0728226,-1.3854278,-8.4167835,-2.7208697,0.3839863,4.0000000,0.0000000
9.1725239,-1.3432613,-8.5063801,-2.6824273,0.3925963,4.0000000,0.0000000
9.2722253,-1.2974758,-8.5945776,-2.6429352,0.4023456,4.0000000,0.0000000
9.3719266,-1.2480401,-8.6811420,-2.6022968,0.4130693,4.0000000,0.0000000
9.4716280,-1.1949234,-8.7658390,-2.5604274,0.4245730,4.0000000,0.0000000
9.5713293,-1.1380948,-8.8484347,-2.5172565,0.4366265,4.0000000,0.0000000
9.6710307,-1.0775232,-8.9286949,-2.4727301,0.4489586,4.0000000,0.0000000
9.7707320,-1.0141316,-9.0052952,-2.4278514,0.4464647,4.0000000,0.0000000
9.8704334,-0.9480980,-9.0782791,-2.3847159,0.4300529,4.0000000,0.0000000
9.9701347,-0.8787431,-9.1486872,-2.3430078,0.4140147,4.0000000,0.0000000
10.0698361,-0.8062381,-9.2164930,-2.3026786,0.3985683,4.0000000,0.0000000
10.1695374,-0.7307541,-9.2816701,-2.2636670,0.3838834,4.0000000,0.0000000
10.2692388,-0.6524622,-9.3441922,-2.2259019,0.3700880,4.0000000,0.0000000
10.3689401,-0.5715337,-9.4040329,-2.1893045,0.3572743,4.0000000,0.0000000
10.4686415,-0.4881397,-9.4611657,-2.1537909,0.3455062,4.0000000,0.0000000
10.5683428,-0.4045552,-9.5142759,-2.1200382,0.3367607,4.0000000,0.0000000
10.6680441,-0.3198065,-9.5642510,-2.0872837,0.3290690,4.0000000,0.0000000
10.7677455,-0.2331088,-9.6116541,-2.0551417,0.3215145,4.0000000,0.0000000
10.8674468,-0.1445454,-9.6564755,-2.0235947,0.3141469,4.0000000,0.0000000
10.9671482,-0.0541997,-9.6987057,-1.9926224,0.3070081,4.0000000,0.0000000
11.0668495,0.0378448,-9.7383350,-1.9622021,0.3001321,4.0000000,0.0000000
11.1665509,0.1315049,-9.7753541,-1.9323089,0.2935463,4.0000000,0.0000000
11.2662522,0.2266972,-9.8097532,-1.9029165,0.2872721,4.0000000,0.0000000
11.3659536,0.3216943,-9.8409933,-1.8737808,0.3046658,4.0000000,0.0000000
11.4656549,0.4169231,-9.8691319,-1.8418734,0.3382218,4.0000000,0.0000000
11.5653563,0.5132762,-9.8941115,-1.8064650,0.3734603,4.0000000,0.0000000
11.6650576,0.6106202,-9.9155169,-1.7674164,0.4102931,4.0000000,0.0000000
11.7647590,0.7088216,-9.9329334,-1.7246006,0.4484150,4.0000000,0.0000000
11.8644603,0.8077470,-9.9459458,-1.6779196,0.4872532,4.0000000,0.0000000
11.9641617,0.9072628,-9.9541392,-1.6273239,0.5259210,4.0000000,0.0000000
12.0638630,1.0072358,-9.9570986,-1.5728340,0.5631902,4.0000000,0.0000000
12.1635644,1.1088965,-9.9543358,-1.5141440,0.5724848,4.0000000,0.0000000
12.2632657,1.2137896,-9.9452952,-1.4562446,0.5297997,4.0000000,0.0000000
12.3629670,1.3177069,-9.9304588,-1.4022107,0.5019704,4.0000000,-1.8091785
12.4626684,1.4196991,-9.9103795,-1.3508417,0.4886809,3.9546485,-4.3151867
12.5623697,1.5188165,-9.8856099,-1.3009455,0.4906769,3.8443185,-4.7275686
12.6620711,1.6141098,-9.8567027,-1.2512698,0.5102316,3.7196902,-4.9029433
