# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
7.0900866,2.1145472,-0.4302524,0.7200251,0.8134767,3.1982883,-3.0053801
7.1899470,2.0449360,-0.3574421,0.8078790,0.9341360,3.1030326,-2.1400370
7.2898074,1.9722486,-0.2942302,0.9043490,1.0715718,3.0333812,-1.0105560
7.3896678,1.8967906,-0.2409627,1.0101715,1.2211073,2.9999288,0.0000000
7.4895281,1.8160859,-0.1966548,1.1290775,1.3333966,2.9999288,0.0000000
7.5893885,1.7283966,-0.1617353,1.2537601,1.2817838,2.9999288,0.4644932
7.6892489,1.6363392,-0.1373990,1.3680463,1.1012345,3.0153510,1.9871996
7.7891093,1.5387264,-0.1224152,1.4648545,0.8556314,3.0804588,3.8807195
7.8889697,1.4343711,-0.1155536,1.5411110,0.6088600,3.2037926,5.7504862
7.9888300,1.3302616,-0.1153817,1.5936763,0.4041507,3.3782804,7.0000000
8.0886904,1.2414315,-0.1188059,1.6228410,0.2598869,3.5792211,7.0000000
8.1885508,1.1480958,-0.1246320,1.6417092,0.1491526,3.7694653,7.0000000
8.2884112,1.0505535,-0.1321271,1.6518418,0.0618443,3.9505587,1.9681779
8.3882715,0.9491037,-0.1405586,1.6543864,-0.0091656,4.0000000,0.0000000
8.4881319,0.8440455,-0.1491936,1.6501741,-0.0688784,4.0000000,0.0000000
8.5879923,0.7356779,-0.1572992,1.6397963,-0.1208058,4.0000000,0.0000000
8.6878527,0.6304871,-0.1638171,1.6250930,-0.1435066,4.0000000,0.0000000
8.7877130,0.5331050,-0.1684515,1.6118471,-0.1288058,4.0000000,0.0000000
8.8875734,0.4341925,-0.1719032,1.5997052,-0.1170091,4.0000000,0.0000000
8.9874338,0.3341425,-0.1742269,1.5884866,-0.1075579,4.0000000,0.0000000
9.0872942,0.2333484,-0.1754771,1.5780384,-0.1000439,4.0000000,0.0000000
9.1871545,0.1322032,-0.1757086,1.5682293,-0.0941715,4.0000000,0.0000000
9.2870149,0.0311000,-0.1749758,1.5589436,-0.0897334,4.0000000,0.0000000
9.3868753,-0.0695680,-0.1733336,1.5500775,-0.0865942,4.0000000,0.0000000
9.4867357,-0.1723471,-0.1707527,1.5415019,-0.0727542,4.0000000,0.0000000
9.5865960,-0.2795296,-0.1672649,1.5357102,-0.0348249,4.0000000,0.0000000
9.6864564,-0.3848605,-0.1634477,1.5341497,0.0059726,4.0000000,0.0000000
9.7863168,-0.4879184,-0.1597789,1.5370568,0.0515841,4.0000000,0.0000000
9.8861772,-0.5882819,-0.1567363,1.5448081,0.1045414,4.0000000,0.0000000
9.9860375,-0.6855298,-0.1547978,1.5579534,0.1682526,4.0000000,-5.9415177
10.0858979,-0.7792406,-0.1544411,1.5772626,0.2474271,3.8488122,-7.3463465
10.1857583,-0.8689930,-0.1561443,1.6037890,0.3486892,3.6532366,-6.4995422
10.2856187,-0.9819681,-0.1623310,1.6492058,0.4565436,3.4710293,-5.5595301
10.3854790,-1.0889277,-0.1736224,1.7051106,0.5888327,3.3072180,-4.4898413
10.4853394,-1.1882639,-0.1903160,1.7721446,0.7479510,3.1687500,-3.2697083
10.5851998,-1.2802127,-0.2127696,1.8513411,0.9299468,3.0639758,-1.8897550
10.6850602,-1.3650101,-0.2413410,1.9431052,1.1220485,3.0017536,-0.5308689
