# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,6.3467621,7.1509271,-2.3793875,0.1220954,4.0000000,0.0000000
0.0998969,6.4207670,7.0743209,-2.3681055,0.0902952,4.0000000,0.0000000
0.1997938,6.4951117,6.9988293,-2.3601128,0.0607171,4.0000000,0.0000000
0.2996907,6.5689133,6.9248424,-2.3552985,0.0311392,4.0000000,0.0000000
0.3995875,6.6412887,6.8527502,-2.3537138,-0.0009067,4.0000000,0.0000000
0.4994844,6.7113549,6.7829429,-2.3555942,-0.0386307,4.0000000,-1.5829655
0.5993813,6.7782288,6.7158105,-2.3614107,-0.0867898,3.9602694,-9.9004175
0.6992782,6.8410275,6.6517430,-2.3719682,-0.1531906,3.7021199,-8.7621503
0.7991751,6.9185195,6.5700416,-2.3954697,-0.2708349,3.4576102,-7.3189197
0.8990720,6.9918709,6.4877993,-2.4342893,-0.4461233,3.2392582,-5.6434392
0.9989689,7.0547655,6.4102580,-2.4898086,-0.6787376,3.0602729,-3.7852021
1.0988658,7.1076028,6.3357389,-2.5640420,-0.9542093,2.9341115,-1.9353254
1.1987626,7.1507826,6.2625636,-2.6567937,-1.2240639,2.8674630,-0.1744899
1.2986595,7.1896889,6.1760680,-2.7845356,-1.4443403,2.8613777,0.0000000
1.3985564,7.2167477,6.0842459,-2.9258407,-1.4656520,2.8613777,0.0000000
1.4984533,7.2310622,5.9870220,-3.0617263,-1.2697018,2.8613777,1.6043393
1.5983502,7.2329950,5.8819388,3.1039429,-0.9620828,2.9168509,3.8145809
1.6982471,7.2257773,5.7897868,3.0265604,-0.7269882,3.0446919,5.2607112
1.7981440,7.2123527,5.6984934,2.9669291,-0.5762181,3.2126634,6.0000000
1.8980408,7.1927668,5.6023830,2.9159003,-0.4713522,3.3941079,6.0000000
1.9979377,7.1673268,5.5021902,2.8712417,-0.3974436,3.5663330,6.0000000
2.0978346,7.1363394,5.3986495,2.8312996,-0.3449811,3.7306158,6.0000000
2.1977315,7.1023472,5.2986988,2.7969274,-0.3049124,3.8879630,4.4232780
2.2976284,7.0689932,5.2096916,2.7697719,-0.2676761,4.0000000,0.0000000
2.3975253,7.0325104,5.1194815,2.7453012,-0.2362583,4.0000000,0.0000000
2.4974222,6.9931212,5.0282487,2.7231870,-0.2096153,4.0000000,0.0000000
2.5973190,6.9510478,4.9361736,2.7031499,-0.1868992,4.0000000,0.0000000
2.6972159,6.9065126,4.8434367,2.6849518,-0.1674219,4.0000000,0.0000000
2.7971128,6.8597378,4.7502183,2.6683892,-0.1506241,4.0000000,0.0000000
2.8970097,6.8138709,4.6622219,2.6539351,-0.1424977,4.0000000,0.0000000
2.9969066,6.7673804,4.5760081,2.6402344,-0.1373316,4.0000000,0.0000000
3.0968035,6.7192962,4.4896534,2.6268986,-0.1325875,4.0000000,0.0000000
3.1967004,6.6696554,4.4032004,2.6139011,-0.1282349,4.0000000,0.0000000
3.2965973,6.6184946,4.3166916,2.6012165,-0.1242462,4.0000000,0.0000000
3.3964941,6.5658508,4.2301695,2.5888207,-0.1205965,4.0000000,0.0000000
3.4963910,6.5117607,4.1436765,2.5766909,-0.1172631,4.0000000,0.0000000
3.5962879,6.4575298,4.0592018,2.5651835,-0.1103297,4.0000000,0.0000000
3.6961848,6.4030198,3.9763144,2.5547021,-0.1011026,4.0000000,0.0000000
3.7960817,6.3474267,3.8936039,2.5450588,-0.0925342,4.0000000,0.0000000
3.8959786,6.2908792,3.8111301,2.5362102,-0.0845324,4.0000000,0.0000000
3.9958755,6.2335062,3.7289530,2.5281186,-0.0770129,4.0000000,0.0000000
4.0957723,6.1754368,3.6471323,2.5207517,-0.0698978,4.0000000,0.0000000
4.1956692,6.1167996,3.5657278,2.5140819,-0.0631143,4.0000000,0.0000000
4.2955661,6.0576244,3.4846640,2.5080796,-0.0561195,4.0000000,0.0000000
4.3954630,5.9973148,3.4030124,2.5029310,-0.0453227,4.0000000,0.0000000
4.4953599,5.9368404,3.3219199,2.4988920,-0.0345141,4.0000000,0.0000000
4.5952568,5.8763540,3.2413981,2.4959640,-0.0235981,4.0000000,0.0000000
4.6951537,5.8160082,3.1614587,2.4941548,-0.0124729,4.0000000,0.0000000
4.7950505,5.7559558,3.0821135,2.4934793,-0.0010288,4.0000000,0.0000000
4.8949474,5.6963495,3.0033741,2.4939595,0.0108540,4.0000000,0.0000000
4.9948443,5.6373419,2.9252522,2.4956256,0.0233075,4.0000000,0.0000000
5.0947412,5.5764171,2.8442177,2.4982113,0.0249820,4.0000000,0.0000000
5.1946381,5.5154746,2.7627308,2.5006519,0.0229548,4.0000000,0.0000000
5.2945350,5.4552952,2.6818733,2.5028561,0.0207493,4.0000000,0.0000000
5.3944319,5.3958091,2.6015989,2.5048121,0.0183732,4.0000000,0.0000000
5.4943288,5.3369463,2.5218614,2.5065088,0.0158361,4.0000000,0.0000000
5.5942256,5.2786369,2.4426147,2.5079360,0.0131504,4.0000000,0.0000000
5.6941225,5.2208110,2.3638126,2.5090847,0.0103304,4.0000000,0.0000000
5.7940194,5.1617178,2.2831362,2.5094375,-0.0054522,4.0000000,0.0000000
5.8939163,5.1025146,2.2024029,2.5079548,-0.0242280,4.0000000,0.0000000
5.9938132,5.0433067,2.1220721,2.5045929,-0.0431624,4.0000000,0.0000000
6.0937101,4.9838567,2.0421349,2.4993530,-0.0620001,4.0000000,0.0000000
6.1936070,4.9239267,1.9625827,2.4922534,-0.0804781,4.0000000,0.0000000
6.2935038,4.8632792,1.8834068,2.4833300,-0.0983311,4.0000000,0.0000000
6.3934007,4.8018526,1.8048211,2.4726711,-0.1149725,4.0000000,0.0000000
6.4932976,4.7404110,1.7280291,2.4606794,-0.1287942,4.0000000,0.0000000
6.5931945,4.6777025,1.6516612,2.4472918,-0.1420583,4.0000000,0.0000000
6.6930914,4.6135909,1.5757872,2.4325468,-0.1546949,4.0000000,0.0000000
