# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
7.1900678,5.2554999,8.8204084,-1.0201255,-0.2415747,4.8615973,-5.2893662
7.2899298,5.3411374,8.8714825,-1.0468556,-0.2972106,4.7517065,-3.9462293
7.3897919,5.4251204,8.9183027,-1.0787337,-0.3695991,4.6680357,-2.0444813
7.4896539,5.5070927,8.9603228,-1.1169547,-0.4655979,4.6240918,-0.5110404
7.5895160,5.6002091,9.0028076,-1.1697794,-0.5398907,4.6130421,-0.0839563
7.6893780,5.7023702,9.0425483,-1.2302137,-0.5604019,4.6112243,0.0000000
7.7892401,5.7998816,9.0739697,-1.2879939,-0.5643503,4.6112243,0.0000000
7.8891021,5.8926921,9.0982527,-1.3415218,-0.5474035,4.6112243,0.3603460
7.9889642,5.9807503,9.1165781,-1.3890807,-0.5048507,4.6190215,1.2288298
8.0888262,6.0794130,9.1322372,-1.4373921,-0.4812899,4.6455125,1.1300552
8.1886883,6.1839666,9.1435967,-1.4874394,-0.4628513,4.6697415,-1.7424285
8.2885503,6.2814545,9.1496111,-1.5298238,-0.3951378,4.6323300,-3.2763215
8.3884124,6.3730463,9.1518578,-1.5608154,-0.2703319,4.5611534,-6.3375813
8.4882744,6.4777623,9.1515142,-1.5872977,-0.2534074,4.4202209,-7.0298847
8.5881365,6.5782302,9.1485740,-1.6128084,-0.2534222,4.2584405,-7.3793651
8.6879986,6.6717311,9.1435373,-1.6363279,-0.2476976,4.0817249,-7.8074627
8.7878606,6.7726806,9.1357048,-1.6591411,-0.1895851,3.8860185,-9.0616831
8.8877227,6.8705372,9.1262918,-1.6722897,-0.0713176,3.6457239,-7.5676822
8.9875847,6.9636469,9.1165756,-1.6812973,-0.3762625,3.4321793,-0.9388921
9.0874468,7.0544671,9.1038932,-1.7466260,-0.9541743,3.4047518,0.0000000
9.1873088,7.1561209,9.0801911,-1.8543897,-1.0351668,3.4047518,0.0000000
9.2871709,7.2497801,9.0478561,-1.9485324,-0.8252639,3.4047518,2.4332647
9.3870329,7.3298559,9.0129659,-2.0123808,-0.6521894,3.4753873,4.1226501
9.4868950,7.4161496,8.9690130,-2.0695572,-0.5376740,3.5918950,5.0630866
9.5867570,7.5080070,8.9157149,-2.1221408,-0.4581695,3.7300040,5.6255200
9.6866191,7.6047739,8.8527890,-2.1714988,-0.4006348,3.8776903,5.9758625
9.7864811,7.6826661,8.7973270,-2.2061721,-0.3178784,4.0286481,6.8408319
9.8863432,7.7578033,8.7403009,-2.2327810,-0.2501512,4.1947926,7.5982690
9.9862052,7.8344838,8.6791303,-2.2546969,-0.1992972,4.3719380,8.1906657
10.0860673,7.9123525,8.6144317,-2.2727974,-0.1600627,4.5551856,8.6787437
10.1859293,7.9910543,8.5468217,-2.2877259,-0.1289293,4.7416315,9.0000000
10.2857914,8.0702339,8.4769168,-2.2999542,-0.1034609,4.9275335,9.0000000
10.3856534,8.1473998,8.4072803,-2.3095568,-0.0808341,5.1066725,9.0000000
10.4855155,8.2211909,8.3395729,-2.3165237,-0.0585276,5.2797368,9.0000000
10.5853775,8.2948166,8.2712159,-2.3213268,-0.0372152,5.4473055,9.0000000
10.6852396,8.3682157,8.2025559,-2.3240177,-0.0163610,5.6098712,9.0000000
10.7851016,8.4413270,8.1339396,-2.3246128,0.0045594,5.7678567,9.0000000
10.8849637,8.5140893,8.0657133,-2.3230930,0.0260848,5.9216289,9.0000000
