s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,3.84,-0.04063,-1.57056,-0.43713,0.01338
0.7,0.148,4.00,-0.03523,-1.57066,-0.43740,0.05944
1.4,0.294,4.00,-0.03250,-1.57061,-0.41065,0.09523
2.1,0.444,4.00,-0.03242,-1.56969,-0.36412,0.12606
2.8,0.598,4.00,-0.02979,-1.36628,-0.28945,0.17612
3.5,0.762,4.00,-0.02406,-1.02397,-0.17101,0.22600
4.2,0.938,4.00,-0.01701,-0.68272,-0.01602,0.24110
4.9,1.118,4.00,-0.01093,-0.42578,0.14480,0.22333
5.6,1.298,4.00,-0.00742,-0.29028,0.28820,0.18951
6.3,1.476,4.00,-0.00730,-0.29704,0.40050,0.14064
7.0,1.652,4.00,-0.01081,-0.45300,0.46725,0.06994
7.7,1.830,4.00,-0.01770,-0.75257,0.47031,-0.02380
8.4,2.015,4.00,-0.02676,-1.17065,0.39039,-0.13071
9.1,2.209,4.00,-0.03330,-1.57019,0.22120,-0.23323
9.8,2.403,3.85,-0.03476,-1.57073,0.00595,-0.25220
10.5,2.610,2.82,-0.06006,-1.57073,-0.19253,-0.23351
11.2,2.806,3.13,-0.06579,-1.57070,-0.31976,-0.05079
11.9,2.972,3.39,-0.05427,-1.57073,-0.31238,0.18716
12.6,3.144,3.66,-0.04601,-1.57070,-0.17298,0.34421
13.3,3.333,3.94,-0.03765,-1.57059,0.05509,0.36059
14.0,3.524,4.00,-0.03042,-1.37845,0.27340,0.26585
14.7,3.706,4.00,-0.01869,-0.74411,0.41254,0.14430
15.4,3.877,4.00,-0.00670,-0.22886,0.47032,0.03676
16.1,4.044,4.00,0.00102,0.06456,0.46914,-0.03882
16.8,4.212,4.00,0.00203,0.08150,0.42638,-0.08687
17.5,4.386,4.00,-0.00260,-0.12354,0.35179,-0.11582
18.2,4.567,4.00,-0.01169,-0.50690,0.25007,-0.13675
18.9,4.750,4.00,-0.02219,-0.95673,0.12370,-0.15728
19.6,4.932,4.00,-0.03053,-1.37447,-0.02083,-0.17635
20.3,5.104,4.00,-0.03281,-1.57044,-0.16213,-0.16098
21.0,5.263,4.00,-0.03250,-1.57069,-0.26445,-0.08724
21.7,5.430,3.26,-0.04001,-1.57071,-0.32190,-0.04701
22.4,5.607,3.53,-0.05133,-1.57068,-0.37149,-0.02302
23.1,5.774,3.60,-0.04552,-1.57071,-0.41018,-0.01442
23.8,5.931,3.84,-0.04063,-1.57056,-0.43713,0.01338
