# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
40.8613518,2.2311048,1.2345926,1.6463272,0.5345308,4.2591713,2.3033230
40.9612573,2.1317204,1.2244343,1.6986188,0.5131026,4.3128609,2.4558965
41.0611628,2.0329903,1.2091919,1.7490663,0.4980085,4.3693803,2.4922777
41.1610683,1.9351446,1.1890548,1.7983217,0.4893661,4.4259992,2.4135780
41.2609738,1.8384082,1.1641581,1.8470442,0.4875172,4.4801483,0.9573931
41.3608793,1.7429951,1.1345775,1.8958758,0.4913716,4.5014471,-2.0415203
41.4607849,1.6491625,1.1003480,1.9454713,0.5006324,4.4559071,-2.0012820
41.5606904,1.5571512,1.0615062,1.9947138,0.4838203,4.4108083,-2.5467536
41.6605959,1.4671087,1.0182407,2.0426206,0.4768844,4.3527417,-2.9386955
41.7605014,1.3792113,0.9707185,2.0902823,0.4786490,4.2847610,-3.2018438
41.8604069,1.2936799,0.9190338,2.1386215,0.4902977,4.2094433,-3.2756322
41.9603124,1.2107922,0.8632183,2.1885988,0.5112462,4.1309691,-3.1365773
42.0602179,1.1308883,0.8032541,2.2410346,0.5391972,4.0544029,-2.9888220
42.1601234,1.0543700,0.7391099,2.2963415,0.5688522,3.9800733,-2.9885572
42.2600289,0.9815446,0.6706727,2.3543114,0.5910003,3.9043356,-2.9844944
42.3599344,0.9128470,0.5980228,2.4143217,0.6118019,3.8272055,-2.6960337
42.4598399,0.8487869,0.5213686,2.4773781,0.6594440,3.7561689,-1.9914571
42.5597454,0.7899730,0.4407336,2.5466192,0.7299704,3.7028218,0.0000000
42.6596509,0.7373209,0.3560326,2.6268756,0.8752167,3.7028218,0.0000000
42.7595564,0.6921552,0.2672185,2.7153445,0.8730164,3.7028218,0.0301684
42.8594619,0.6547748,0.1746472,2.7990713,0.8003683,3.7036357,1.0214137
42.9593674,0.6248535,0.0792446,2.8747939,0.7127282,3.7310866,2.0781056
43.0592729,0.6017825,-0.0181225,2.9415513,0.6228045,3.7863222,3.0713284
43.1591784,0.5848500,-0.1165118,2.9993772,0.5381946,3.8665127,3.9540327
43.2590840,0.5732286,-0.2156744,3.0492443,0.4630036,3.9673644,4.7123326
43.3589895,0.5662057,-0.3153202,3.0921364,0.3975959,4.0843061,5.0000000
43.4588950,0.5631509,-0.4151957,3.1289617,0.3410009,4.2048319,5.0000000
43.5588005,0.5635063,-0.5151322,-3.1226617,0.2919178,4.3219979,5.0000000
43.6587060,0.5667816,-0.6150199,-3.0956775,0.2490890,4.4360705,5.0000000
43.7586115,0.5725451,-0.7147911,-3.0727389,0.2105280,4.5472823,5.0000000
43.8585170,0.5804040,-0.8144059,-3.0536088,0.1731862,4.6558384,5.0000000
43.9584225,0.5899891,-0.9138527,-3.0379416,0.1407453,4.7619204,5.0000000
