s_m,t_s,v_mps,beta_rad,omega_z_radps,n_m,xi_rad
0.0,0.000,4.00,-0.03250,-1.57054,0.08908,0.01068
0.7,0.188,3.68,-0.03736,-1.57074,0.06045,-0.01141
1.4,0.423,2.42,-0.07882,-1.57062,-0.02575,-0.15791
2.1,0.679,2.83,-0.08005,-1.57072,-0.18609,-0.13974
2.8,0.878,3.12,-0.06297,-1.57074,-0.26510,0.02714
3.5,1.056,3.40,-0.05414,-1.57073,-0.21865,0.23820
4.2,1.243,3.69,-0.04494,-1.57064,-0.04865,0.34054
4.9,1.436,4.00,-0.02962,-1.20230,0.16734,0.27964
5.6,1.609,4.00,-0.00713,-0.20885,0.31021,0.11950
6.3,1.762,4.00,0.01460,0.65771,0.33333,-0.08703
7.0,1.914,4.00,0.02750,1.20792,0.24058,-0.25938
7.7,2.085,4.00,0.02749,1.21114,0.05726,-0.30822
8.4,2.267,4.00,0.01368,0.50836,-0.13955,-0.23792
9.1,2.436,4.00,-0.00592,-0.30943,-0.26294,-0.09486
9.8,2.591,4.00,-0.02025,-0.87383,-0.28163,0.08218
10.5,2.749,4.00,-0.02316,-0.98814,-0.19271,0.22970
11.2,2.925,4.00,-0.01383,-0.53321,-0.01605,0.27572
11.9,3.104,4.00,0.00258,0.16657,0.16912,0.21495
12.6,3.268,4.00,0.01715,0.74391,0.28233,0.08037
13.3,3.421,4.00,0.02402,1.03390,0.29937,-0.06790
14.0,3.581,4.00,0.01948,0.80174,0.23248,-0.15887
14.7,3.756,4.00,0.00118,-0.02872,0.10831,-0.17475
15.4,3.935,4.00,-0.02285,-1.01138,-0.02333,-0.12093
16.1,4.113,3.63,-0.03900,-1.57068,-0.09382,-0.00033
16.8,4.328,2.43,-0.08278,-1.57064,-0.11171,0.03364
17.5,4.583,2.63,-0.08703,-1.57074,-0.11739,0.11831
18.2,4.825,2.82,-0.07418,-1.57075,-0.06731,0.17562
18.9,5.056,3.19,-0.06187,-1.57073,0.01271,0.17033
19.6,5.269,3.52,-0.05020,-1.57070,0.07767,0.10976
20.3,5.466,3.82,-0.04113,-1.57063,0.09866,0.03782
21.0,5.650,4.00,-0.03482,-1.56770,0.07833,-0.01802
21.7,5.829,4.00,-0.02854,-1.29169,0.03828,-0.03402
22.4,6.005,4.00,-0.02125,-0.87719,0.00926,-0.00585
23.1,6.180,4.00,-0.01384,-0.54393,0.01212,0.03652
23.8,6.356,4.00,-0.00760,-0.28739,0.04379,0.06037
24.5,6.531,4.00,-0.00369,-0.13722,0.08233,0.04912
25.2,6.706,4.00,-0.00240,-0.09388,0.10288,0.01235
25.9,6.881,4.00,-0.00379,-0.15910,0.09541,-0.02123
26.6,7.057,4.00,-0.00777,-0.32941,0.06964,-0.02763
27.3,7.234,4.00,-0.01400,-0.59282,0.04598,-0.00206
28.0,7.411,4.00,-0.02155,-0.92245,0.04302,0.04378
28.7,7.589,4.00,-0.02872,-1.27309,0.06533,0.07469
29.4,7.769,4.00,-0.03283,-1.55378,0.09007,0.05252
30.1,7.950,4.00,-0.03250,-1.57054,0.08908,0.01068
