# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
35.3766504,-1.9278047,11.0020545,-3.0092211,-0.0294036,6.0000000,0.0000000
35.4765845,-1.9146650,10.9022694,-3.0120752,-0.0273182,6.0000000,0.0000000
35.5765185,-1.9019473,10.8036199,-3.0146328,-0.0240280,6.0000000,0.0000000
35.6764526,-1.8894518,10.7048315,-3.0168591,-0.0206963,6.0000000,0.0000000
35.7763866,-1.8771355,10.6058193,-3.0187598,-0.0174117,6.0000000,0.0000000
35.8763206,-1.8649692,10.5066047,-3.0203378,-0.0141688,6.0000000,0.0000000
35.9762547,-1.8529237,10.4072087,-3.0215955,-0.0109623,6.0000000,0.0000000
36.0761887,-1.8409698,10.3076528,-3.0225353,-0.0077870,6.0000000,0.0000000
36.1761228,-1.8290782,10.2079581,-3.0231588,-0.0046376,6.0000000,0.0000000
36.2760568,-1.8173054,10.1088417,-3.0235644,-0.0035994,6.0000000,0.0000000
36.3759908,-1.8055622,10.0096702,-3.0238780,-0.0026825,6.0000000,0.0000000
36.4759249,-1.7938378,9.9104289,-3.0241005,-0.0017710,6.0000000,0.0000000
36.5758589,-1.7821256,9.8111408,-3.0242321,-0.0008631,6.0000000,0.0000000
36.6757930,-1.7704194,9.7118290,-3.0242731,0.0000430,6.0000000,0.0000000
36.7757270,-1.7587126,9.6125166,-3.0242235,0.0009490,6.0000000,0.0000000
36.8756610,-1.7469989,9.5132265,-3.0240833,0.0018569,6.0000000,0.0000000
36.9755951,-1.7352586,9.4138562,-3.0239037,0.0016378,6.0000000,0.0000000
37.0755291,-1.7235060,9.3145215,-3.0237560,0.0013138,6.0000000,0.0000000
37.1754632,-1.7117457,9.2152330,-3.0236409,0.0009890,6.0000000,0.0000000
37.2753972,-1.6999808,9.1159902,-3.0235583,0.0006635,6.0000000,0.0000000
37.3753313,-1.6882146,9.0167922,-3.0235083,0.0003373,6.0000000,0.0000000
37.4752653,-1.6764502,8.9176386,-3.0234910,0.0000103,6.0000000,0.0000000
37.5751993,-1.6646909,8.8185286,-3.0235063,-0.0003174,6.0000000,0.0000000
37.6751334,-1.6529091,8.7192088,-3.0235266,-0.0000206,6.0000000,0.0000000
37.7750674,-1.6411287,8.6198994,-3.0235100,0.0003526,6.0000000,0.0000000
37.8750015,-1.6293494,8.5206285,-3.0234561,0.0007266,6.0000000,0.0000000
37.9749355,-1.6175670,8.4213936,-3.0233647,0.0011010,6.0000000,0.0000000
38.0748695,-1.6057775,8.3221923,-3.0232360,0.0014760,6.0000000,0.0000000
38.1748036,-1.5939769,8.2230221,-3.0230699,0.0018514,6.0000000,0.0000000
38.2747376,-1.5821611,8.1238806,-3.0228663,0.0022270,6.0000000,0.0000000
38.3746717,-1.5703064,8.0246009,-3.0226226,0.0026536,6.0000000,0.0000000
38.4746057,-1.5584256,7.9253268,-3.0223356,0.0030870,6.0000000,0.0000000
38.5745397,-1.5465170,7.8260795,-3.0220053,0.0035209,6.0000000,0.0000000
38.6744738,-1.5345762,7.7268593,-3.0216318,0.0039553,6.0000000,0.0000000
38.7744078,-1.5225989,7.6276665,-3.0212149,0.0043901,6.0000000,0.0000000
38.8743419,-1.5105808,7.5285015,-3.0207546,0.0048254,6.0000000,0.0000000
38.9742759,-1.4985177,7.4293648,-3.0202509,0.0052612,6.0000000,0.0000000
39.0742099,-1.4863896,7.3301273,-3.0197081,0.0055870,6.0000000,0.0000000
39.1741440,-1.4742067,7.2309028,-3.0191339,0.0059002,6.0000000,0.0000000
39.2740780,-1.4619678,7.1317048,-3.0185285,0.0062133,6.0000000,0.0000000
39.3740121,-1.4496694,7.0325321,-3.0178920,0.0065264,6.0000000,0.0000000
39.4739461,-1.4373083,6.9333834,-3.0172243,0.0068392,6.0000000,0.0000000
39.5738801,-1.4248814,6.8342577,-3.0165254,0.0071519,6.0000000,0.0000000
39.6738142,-1.4123852,6.7351538,-3.0157954,0.0074642,6.0000000,0.0000000
39.7737482,-1.3998073,6.6359948,-3.0150452,0.0075270,6.0000000,0.0000000
39.8736823,-1.3871552,6.5368487,-3.0142908,0.0075672,6.0000000,0.0000000
39.9736163,-1.3744294,6.4377215,-3.0135326,0.0076071,6.0000000,0.0000000
40.0735504,-1.3616292,6.3386121,-3.0127704,0.0076467,6.0000000,0.0000000
40.1734844,-1.3487542,6.2395196,-3.0120043,0.0076860,6.0000000,0.0000000
40.2734184,-1.3358040,6.1404433,-3.0112344,0.0077250,6.0000000,0.0000000
40.3733525,-1.3227780,6.0413822,-3.0104606,0.0077637,6.0000000,0.0000000
40.4732865,-1.3096718,5.9423020,-3.0097021,0.0073925,6.0000000,0.0000000
40.5732206,-1.2964927,5.8432335,-3.0089830,0.0069966,6.0000000,0.0000000
40.6731546,-1.2832449,5.7441779,-3.0083036,0.0066005,6.0000000,0.0000000
40.7730886,-1.2699322,5.6451347,-3.0076638,0.0062043,6.0000000,0.0000000
40.8730227,-1.2565586,5.5461033,-3.0070636,0.0058080,6.0000000,0.0000000
40.9729567,-1.2431279,5.4470829,-3.0065030,0.0054117,6.0000000,0.0000000
41.0728908,-1.2296441,5.3480729,-3.0059821,0.0050152,6.0000000,0.0000000
41.1728248,-1.2161091,5.2490528,-3.0055227,0.0041638,6.0000000,0.0000000
41.2727588,-1.2025332,5.1500405,-3.0051498,0.0032988,6.0000000,0.0000000
41.3726929,-1.1889251,5.0510353,-3.0048634,0.0024336,6.0000000,0.0000000
41.4726269,-1.1752931,4.9520357,-3.0046634,0.0015684,6.0000000,0.0000000
41.5725610,-1.1616460,4.8530405,-3.0045499,0.0007030,6.0000000,0.0000000
41.6724950,-1.1479921,4.7540482,-3.0045229,-0.0001624,6.0000000,0.0000000
41.7724290,-1.1343401,4.6550574,-3.0045824,-0.0010283,6.0000000,0.0000000
41.8723631,-1.1206979,4.5560562,-3.0047523,-0.0023710,6.0000000,0.0000000
41.9722971,-1.1070793,4.4570530,-3.0050563,-0.0037137,6.0000000,0.0000000
42.0722312,-1.0934975,4.3580459,-3.0054945,-0.0050565,6.0000000,0.0000000
42.1721652,-1.0799659,4.2590328,-3.0060669,-0.0063992,6.0000000,0.0000000
42.2720993,-1.0664978,4.1600116,-3.0067735,-0.0077420,6.0000000,0.0000000
42.3720333,-1.0531062,4.0609803,-3.0076143,-0.0090846,6.0000000,0.0000000
42.4719673,-1.0398046,3.9619368,-3.0085892,-0.0104430,6.0000000,0.0000000
42.5719014,-1.0266067,3.8628763,-3.0097254,-0.0122958,6.0000000,0.0000000
42.6718354,-1.0135305,3.7637998,-3.0110468,-0.0141489,6.0000000,0.0000000
42.7717695,-1.0005945,3.6647053,-3.0125534,-0.0160023,6.0000000,0.0000000
42.8717035,-0.9878171,3.5655911,-3.0142452,-0.0178560,6.0000000,0.0000000
42.9716375,-0.9752168,3.4664552,-3.0161223,-0.0197099,6.0000000,0.0000000
43.0715716,-0.9628118,3.3672959,-3.0181846,-0.0215641,6.0000000,0.0000000
43.1715056,-0.9506206,3.2681105,-3.0204322,-0.0234477,6.0000000,0.0000000
43.2714397,-0.9386615,3.1688881,-3.0228921,-0.0257795,6.0000000,0.0000000
43.3713737,-0.9269582,3.0696369,-3.0255851,-0.0281122,6.0000000,0.0000000
43.4713077,-0.9155341,2.9703555,-3.0285111,-0.0304458,6.0000000,0.0000000
43.5712418,-0.9044124,2.8710423,-3.0316703,-0.0327802,6.0000000,0.0000000
43.6711758,-0.8936164,2.7716959,-3.0350627,-0.0351152,6.0000000,0.0000000
43.7711099,-0.8831693,2.6723146,-3.0386884,-0.0374506,6.0000000,0.0000000
43.8710439,-0.8730943,2.5728955,-3.0425476,-0.0398050,6.0000000,0.0000000
43.9709779,-0.8634139,2.4734250,-3.0466528,-0.0423486,6.0000000,0.0000000
44.0709120,-0.8541548,2.3739166,-3.0510122,-0.0448940,6.0000000,0.0000000
44.1708460,-0.8453425,2.2743703,-3.0556260,-0.0474411,6.0000000,0.0000000
44.2707801,-0.8370024,2.1747858,-3.0604943,-0.0499892,6.0000000,0.0000000
44.3707141,-0.8291601,2.0751632,-3.0656171,-0.0525378,6.0000000,0.0000000
44.4706481,-0.8218410,1.9755023,-3.0709945,-0.0550861,6.0000000,0.0000000
44.5705822,-0.8150704,1.8757988,-3.0766263,-0.0575743,6.0000000,0.0000000
44.6705162,-0.8088714,1.7760293,-3.0824855,-0.0596550,6.0000000,0.0000000
44.7704503,-0.8032676,1.6762285,-3.0885530,-0.0617482,6.0000000,0.0000000
44.8703843,-0.7982803,1.5764030,-3.0948299,-0.0638539,6.0000000,0.0000000
44.9703184,-0.7939306,1.4765592,-3.1013171,-0.0659721,6.0000000,0.0000000
45.0702524,-0.7902399,1.3767037,-3.1080156,-0.0681025,6.0000000,0.0000000
45.1701864,-0.7872292,1.2768428,-3.1149264,-0.0702449,6.0000000,0.0000000
45.2701205,-0.7849196,1.1769722,-3.1220484,-0.0720442,6.0000000,0.0000000
45.3700545,-0.7833261,1.0770493,-3.1292444,-0.0719652,6.0000000,0.0000000
45.4699886,-0.7824514,0.9771303,-3.1364306,-0.0718682,6.0000000,0.0000000
45.5699226,-0.7822942,0.8772128,3.1395793,-0.0717532,6.0000000,0.0000000
45.6698566,-0.7828533,0.7772943,3.1324162,-0.0716202,6.0000000,0.0000000
45.7697907,-0.7841277,0.6773726,3.1252666,-0.0714696,6.0000000,0.0000000
45.8697247,-0.7861160,0.5774451,3.1181317,-0.0713014,6.0000000,0.0000000
45.9696588,-0.7888161,0.4775378,3.1110309,-0.0694739,6.0000000,0.0000000
46.0695928,-0.7921997,0.3777347,3.1045154,-0.0610226,6.0000000,0.0000000
46.1695268,-0.7961928,0.2779233,3.0988412,-0.0525884,6.0000000,0.0000000
46.2694609,-0.8007115,0.1781052,3.0940071,-0.0441726,6.0000000,0.0000000
46.3693949,-0.8056721,0.0782818,3.0900121,-0.0357747,6.0000000,0.0000000
46.4693290,-0.8109908,-0.0215454,3.0868548,-0.0273930,6.0000000,0.0000000
46.5692630,-0.8165839,-0.1213750,3.0845343,-0.0190246,6.0000000,0.0000000
46.6691970,-0.8223788,-0.2213925,3.0830067,-0.0142408,6.0000000,0.0000000
46.7691311,-0.8283651,-0.3220072,3.0812003,-0.0216210,6.0000000,0.0000000
46.8690651,-0.8345624,-0.4224744,3.0786468,-0.0291499,6.0000000,0.0000000
46.9689992,-0.8410380,-0.5226743,3.0753329,-0.0369062,6.0000000,0.0000000
47.0689332,-0.8478597,-0.6224870,3.0712403,-0.0449729,6.0000000,0.0000000
47.1688672,-0.8550950,-0.7217925,3.0663450,-0.0534384,6.0000000,0.0000000
47.2688013,-0.8628113,-0.8204709,3.0606172,-0.0623991,6.0000000,-0.2260610
47.3687353,-0.8712094,-0.9199150,3.0538776,-0.0742089,5.9962336,-8.8652445
47.4686694,-0.8805854,-1.0217590,3.0454018,-0.0917053,5.8466177,-8.4214145
47.5686034,-0.8908212,-1.1226118,3.0351821,-0.1101111,5.7008566,-7.9979923
47.6685375,-0.9020722,-1.2224140,3.0231591,-0.1295097,5.5588868,-7.5931356
47.7684715,-0.9144943,-1.3211061,3.0092694,-0.1499770,5.4206639,-7.2055497
47.8684055,-0.9282431,-1.4186288,2.9934461,-0.1715770,5.2861553,-6.8345500
47.9683396,-0.9434743,-1.5149227,2.9756199,-0.1943548,5.1553302,-5.6877541
48.0682736,-0.9609221,-1.6128597,2.9540077,-0.2481167,5.0438705,-4.3126976
48.1682077,-0.9808428,-1.7106093,2.9260209,-0.3127633,4.9576868,-3.0223573
48.2681417,-1.0036777,-1.8072060,2.8918779,-0.3744650,4.8963850,-1.8428590
48.3680757,-1.0300566,-1.9028036,2.8519099,-0.4302733,4.8586271,-0.8164139
48.4680098,-1.0606094,-1.9975558,2.8066508,-0.4770527,4.8418057,0.0000000
48.5679438,-1.0959661,-2.0916163,2.7568443,-0.5118781,4.8418057,0.0000000
48.6678779,-1.1352335,-2.1818934,2.7057669,-0.5098063,4.8418057,0.0485683
48.7678119,-1.1773492,-2.2670236,2.6592030,-0.4709838,4.8428080,0.9541159
48.8677459,-1.2241403,-2.3517505,2.6154303,-0.4338943,4.8624569,1.7412257
48.9676800,-1.2754781,-2.4360529,2.5743491,-0.3989577,4.8981121,2.4284051
49.0676140,-1.3312339,-2.5199097,2.5358362,-0.3664123,4.9474097,3.0313770
49.1675481,-1.3912788,-2.6032998,2.4997532,-0.3363557,5.0082670,3.5632768
49.2674821,-1.4554840,-2.6862018,2.4659541,-0.3087828,5.0788703,4.0349707
